StudyHours,Attendance,Resources,Extracurricular,Motivation,Internet,Gender,Age,LearningStyle,OnlineCourses,Discussions,AssignmentCompletion,ExamScore,EduTech,StressLevel,FinalGrade,ActiveLearner,PassStatus
19.0,92.0,Medium,No,High,Yes,Female,19.0,3,12.0,1,63.0,40.0,1,2,D,No,Fail
19.0,92.0,Medium,No,High,Yes,Female,26.0,2,3.0,0,86.0,94.0,1,2,A,No,Pass
29.0,84.0,Low,Yes,Low,Yes,Male,21.0,2,10.0,1,57.0,48.0,1,2,D,Yes,Fail
29.0,84.0,Low,Yes,Low,Yes,Male,28.0,2,14.0,0,74.0,60.0,1,0,C,Yes,Pass
29.0,84.0,Medium,Yes,Medium,Yes,Male,21.0,2,10.0,1,57.0,48.0,1,2,D,Yes,Fail
29.0,84.0,Medium,Yes,Medium,Yes,Male,28.0,2,14.0,0,74.0,60.0,1,0,C,Yes,Pass
25.0,78.0,High,Yes,Medium,Yes,Male,18.0,2,17.0,0,91.0,58.0,1,2,C,Yes,Pass
25.0,78.0,Low,Yes,Medium,Yes,Male,18.0,2,17.0,0,91.0,58.0,1,2,C,Yes,Pass
17.0,94.0,High,No,High,Yes,Male,19.0,3,3.0,1,74.0,92.0,0,2,A,No,Pass
17.0,94.0,Medium,No,Low,Yes,Male,19.0,3,3.0,1,74.0,92.0,0,2,A,No,Pass
17.0,94.0,Medium,No,Medium,Yes,Male,19.0,3,3.0,1,74.0,92.0,0,2,A,No,Pass
17.0,94.0,Medium,Yes,Medium,Yes,Male,19.0,3,3.0,1,74.0,92.0,0,2,A,Yes,Pass
17.0,94.0,Low,No,High,Yes,Male,19.0,3,3.0,1,74.0,92.0,0,2,A,No,Pass
17.0,94.0,Low,Yes,Low,Yes,Male,19.0,3,3.0,1,74.0,92.0,0,2,A,Yes,Pass
17.0,94.0,High,Yes,Medium,Yes,Male,19.0,3,3.0,1,74.0,92.0,0,2,A,Yes,Pass
23.0,98.0,Medium,Yes,Medium,Yes,Male,27.0,2,5.0,0,65.0,58.0,0,2,C,Yes,Pass
23.0,98.0,Medium,Yes,Medium,Yes,Male,27.0,1,4.0,1,100.0,93.0,0,2,A,Yes,Pass
23.0,98.0,Low,No,Medium,Yes,Male,27.0,2,5.0,0,65.0,58.0,0,2,C,No,Pass
23.0,98.0,Low,No,Medium,Yes,Male,27.0,1,4.0,1,100.0,93.0,0,2,A,No,Pass
23.0,98.0,High,No,Medium,Yes,Male,27.0,2,5.0,0,65.0,58.0,0,2,C,No,Pass
23.0,98.0,High,No,Medium,Yes,Male,27.0,1,4.0,1,100.0,93.0,0,2,A,No,Pass
23.0,98.0,High,Yes,Low,Yes,Male,27.0,2,5.0,0,65.0,58.0,0,2,C,Yes,Pass
23.0,98.0,High,Yes,Low,Yes,Male,27.0,1,4.0,1,100.0,93.0,0,2,A,Yes,Pass
17.0,80.0,High,No,Medium,No,Male,18.0,1,13.0,1,68.0,73.0,0,2,B,No,Pass
17.0,80.0,High,No,Medium,No,Male,24.0,3,11.0,1,64.0,69.0,1,0,C,No,Pass
17.0,80.0,High,No,Medium,No,Male,23.0,0,7.0,1,68.0,87.0,1,1,A,No,Pass
17.0,80.0,High,No,Medium,No,Male,27.0,0,12.0,0,64.0,88.0,1,0,A,No,Pass
17.0,80.0,High,No,Medium,No,Male,29.0,1,0.0,1,73.0,78.0,1,0,B,No,Pass
17.0,80.0,Medium,No,Medium,Yes,Male,18.0,1,13.0,1,68.0,73.0,0,2,B,No,Pass
17.0,80.0,Medium,No,Medium,Yes,Male,24.0,3,11.0,1,64.0,69.0,1,0,C,No,Pass
17.0,80.0,Medium,No,Medium,Yes,Male,23.0,0,7.0,1,68.0,87.0,1,1,A,No,Pass
17.0,80.0,Medium,No,Medium,Yes,Male,27.0,0,12.0,0,64.0,88.0,1,0,A,No,Pass
17.0,80.0,Medium,No,Medium,Yes,Male,29.0,1,0.0,1,73.0,78.0,1,0,B,No,Pass
17.0,80.0,High,No,Medium,Yes,Male,18.0,1,13.0,1,68.0,73.0,0,2,B,No,Pass
17.0,80.0,High,No,Medium,Yes,Male,24.0,3,11.0,1,64.0,69.0,1,0,C,No,Pass
17.0,80.0,High,No,Medium,Yes,Male,23.0,0,7.0,1,68.0,87.0,1,1,A,No,Pass
17.0,80.0,High,No,Medium,Yes,Male,27.0,0,12.0,0,64.0,88.0,1,0,A,No,Pass
17.0,80.0,High,No,Medium,Yes,Male,29.0,1,0.0,1,73.0,78.0,1,0,B,No,Pass
17.0,97.0,High,Yes,Low,Yes,Male,27.0,1,9.0,0,64.0,87.0,1,1,A,Yes,Pass
17.0,97.0,High,Yes,Low,Yes,Male,25.0,2,20.0,1,70.0,82.0,1,1,B,Yes,Pass
17.0,97.0,Medium,No,Medium,Yes,Male,27.0,1,9.0,0,64.0,87.0,1,1,A,No,Pass
17.0,97.0,Medium,No,Medium,Yes,Male,25.0,2,20.0,1,70.0,82.0,1,1,B,No,Pass
17.0,97.0,High,No,High,Yes,Male,27.0,1,9.0,0,64.0,87.0,1,1,A,No,Pass
17.0,97.0,High,No,High,Yes,Male,25.0,2,20.0,1,70.0,82.0,1,1,B,No,Pass
17.0,97.0,High,Yes,Medium,No,Male,27.0,1,9.0,0,64.0,87.0,1,1,A,Yes,Pass
17.0,97.0,High,Yes,Medium,No,Male,25.0,2,20.0,1,70.0,82.0,1,1,B,Yes,Pass
17.0,97.0,High,No,Medium,Yes,Male,27.0,1,9.0,0,64.0,87.0,1,1,A,No,Pass
17.0,97.0,High,No,Medium,Yes,Male,25.0,2,20.0,1,70.0,82.0,1,1,B,No,Pass
17.0,97.0,Low,Yes,Medium,Yes,Male,27.0,1,9.0,0,64.0,87.0,1,1,A,Yes,Pass
17.0,97.0,Low,Yes,Medium,Yes,Male,25.0,2,20.0,1,70.0,82.0,1,1,B,Yes,Pass
17.0,97.0,Medium,Yes,Medium,Yes,Male,27.0,1,9.0,0,64.0,87.0,1,1,A,Yes,Pass
17.0,97.0,Medium,Yes,Medium,Yes,Male,25.0,2,20.0,1,70.0,82.0,1,1,B,Yes,Pass
17.0,97.0,Low,No,High,No,Male,27.0,1,9.0,0,64.0,87.0,1,1,A,No,Pass
17.0,97.0,Low,No,High,No,Male,25.0,2,20.0,1,70.0,82.0,1,1,B,No,Pass
17.0,97.0,Medium,Yes,Low,Yes,Male,27.0,1,9.0,0,64.0,87.0,1,1,A,Yes,Pass
17.0,97.0,Medium,Yes,Low,Yes,Male,25.0,2,20.0,1,70.0,82.0,1,1,B,Yes,Pass
21.0,83.0,Medium,Yes,Low,Yes,Male,27.0,2,1.0,0,66.0,86.0,0,1,A,Yes,Pass
21.0,83.0,Medium,Yes,Low,Yes,Male,27.0,0,7.0,1,77.0,96.0,1,1,A,Yes,Pass
21.0,83.0,Medium,Yes,High,Yes,Male,27.0,2,1.0,0,66.0,86.0,0,1,A,Yes,Pass
21.0,83.0,Medium,Yes,High,Yes,Male,27.0,0,7.0,1,77.0,96.0,1,1,A,Yes,Pass
21.0,83.0,Low,No,Low,Yes,Male,27.0,2,1.0,0,66.0,86.0,0,1,A,No,Pass
21.0,83.0,Low,No,Low,Yes,Male,27.0,0,7.0,1,77.0,96.0,1,1,A,No,Pass
21.0,83.0,Low,Yes,Low,Yes,Male,27.0,2,1.0,0,66.0,86.0,0,1,A,Yes,Pass
21.0,83.0,Low,Yes,Low,Yes,Male,27.0,0,7.0,1,77.0,96.0,1,1,A,Yes,Pass
21.0,83.0,High,Yes,High,Yes,Male,27.0,2,1.0,0,66.0,86.0,0,1,A,Yes,Pass
21.0,83.0,High,Yes,High,Yes,Male,27.0,0,7.0,1,77.0,96.0,1,1,A,Yes,Pass
21.0,83.0,High,No,Medium,Yes,Male,27.0,2,1.0,0,66.0,86.0,0,1,A,No,Pass
21.0,83.0,High,No,Medium,Yes,Male,27.0,0,7.0,1,77.0,96.0,1,1,A,No,Pass
9.0,82.0,Medium,Yes,Medium,Yes,Male,18.0,3,17.0,0,55.0,40.0,1,2,D,Yes,Fail
9.0,82.0,Medium,Yes,Medium,Yes,Male,25.0,3,13.0,0,73.0,46.0,1,2,D,Yes,Fail
10.0,78.0,High,Yes,Medium,Yes,Male,27.0,2,5.0,0,71.0,68.0,1,2,C,Yes,Pass
10.0,78.0,High,Yes,Medium,Yes,Male,20.0,3,17.0,0,85.0,78.0,1,2,B,Yes,Pass
17.0,68.0,Medium,No,Medium,Yes,Female,19.0,3,0.0,1,75.0,42.0,1,1,D,No,Fail
17.0,68.0,Medium,No,Medium,Yes,Female,24.0,2,4.0,1,87.0,64.0,1,2,C,No,Pass
17.0,68.0,Medium,No,Medium,Yes,Female,20.0,3,19.0,1,88.0,49.0,1,1,D,No,Fail
17.0,68.0,Medium,Yes,Medium,Yes,Female,19.0,3,0.0,1,75.0,42.0,1,1,D,Yes,Fail
17.0,68.0,Medium,Yes,Medium,Yes,Female,24.0,2,4.0,1,87.0,64.0,1,2,C,Yes,Pass
17.0,68.0,Medium,Yes,Medium,Yes,Female,20.0,3,19.0,1,88.0,49.0,1,1,D,Yes,Fail
17.0,68.0,Medium,No,High,Yes,Female,19.0,3,0.0,1,75.0,42.0,1,1,D,No,Fail
17.0,68.0,Medium,No,High,Yes,Female,24.0,2,4.0,1,87.0,64.0,1,2,C,No,Pass
17.0,68.0,Medium,No,High,Yes,Female,20.0,3,19.0,1,88.0,49.0,1,1,D,No,Fail
17.0,68.0,High,Yes,Medium,Yes,Female,19.0,3,0.0,1,75.0,42.0,1,1,D,Yes,Fail
17.0,68.0,High,Yes,Medium,Yes,Female,24.0,2,4.0,1,87.0,64.0,1,2,C,Yes,Pass
17.0,68.0,High,Yes,Medium,Yes,Female,20.0,3,19.0,1,88.0,49.0,1,1,D,Yes,Fail
17.0,68.0,Low,Yes,High,Yes,Female,19.0,3,0.0,1,75.0,42.0,1,1,D,Yes,Fail
17.0,68.0,Low,Yes,High,Yes,Female,24.0,2,4.0,1,87.0,64.0,1,2,C,Yes,Pass
17.0,68.0,Low,Yes,High,Yes,Female,20.0,3,19.0,1,88.0,49.0,1,1,D,Yes,Fail
22.0,70.0,Medium,Yes,Medium,Yes,Female,22.0,3,1.0,1,74.0,40.0,1,2,D,Yes,Fail
22.0,70.0,Medium,No,Low,Yes,Female,22.0,3,1.0,1,74.0,40.0,1,2,D,No,Fail
22.0,70.0,High,Yes,High,Yes,Female,22.0,3,1.0,1,74.0,40.0,1,2,D,Yes,Fail
22.0,70.0,Medium,Yes,Low,Yes,Female,22.0,3,1.0,1,74.0,40.0,1,2,D,Yes,Fail
22.0,70.0,High,Yes,Medium,Yes,Female,22.0,3,1.0,1,74.0,40.0,1,2,D,Yes,Fail
15.0,80.0,Medium,Yes,Low,Yes,Female,23.0,2,2.0,0,50.0,56.0,0,1,C,Yes,Pass
15.0,80.0,Medium,Yes,Low,Yes,Female,21.0,2,7.0,1,87.0,89.0,1,0,A,Yes,Pass
15.0,80.0,Medium,Yes,Low,Yes,Female,23.0,1,13.0,1,56.0,75.0,1,2,B,Yes,Pass
15.0,80.0,High,No,Medium,Yes,Female,23.0,2,2.0,0,50.0,56.0,0,1,C,No,Pass
15.0,80.0,High,No,Medium,Yes,Female,21.0,2,7.0,1,87.0,89.0,1,0,A,No,Pass
15.0,80.0,High,No,Medium,Yes,Female,23.0,1,13.0,1,56.0,75.0,1,2,B,No,Pass
15.0,80.0,Low,No,High,Yes,Female,23.0,2,2.0,0,50.0,56.0,0,1,C,No,Pass
15.0,80.0,Low,No,High,Yes,Female,21.0,2,7.0,1,87.0,89.0,1,0,A,No,Pass
15.0,80.0,Low,No,High,Yes,Female,23.0,1,13.0,1,56.0,75.0,1,2,B,No,Pass
15.0,80.0,Medium,No,Medium,Yes,Female,23.0,2,2.0,0,50.0,56.0,0,1,C,No,Pass
15.0,80.0,Medium,No,Medium,Yes,Female,21.0,2,7.0,1,87.0,89.0,1,0,A,No,Pass
15.0,80.0,Medium,No,Medium,Yes,Female,23.0,1,13.0,1,56.0,75.0,1,2,B,No,Pass
15.0,80.0,Medium,Yes,Medium,Yes,Female,23.0,2,2.0,0,50.0,56.0,0,1,C,Yes,Pass
15.0,80.0,Medium,Yes,Medium,Yes,Female,21.0,2,7.0,1,87.0,89.0,1,0,A,Yes,Pass
15.0,80.0,Medium,Yes,Medium,Yes,Female,23.0,1,13.0,1,56.0,75.0,1,2,B,Yes,Pass
12.0,75.0,High,Yes,Medium,Yes,Male,21.0,0,16.0,1,66.0,71.0,1,2,B,Yes,Pass
12.0,75.0,High,Yes,Medium,Yes,Male,22.0,2,20.0,1,55.0,48.0,1,1,D,Yes,Fail
29.0,78.0,Medium,No,High,Yes,Female,28.0,0,2.0,1,67.0,91.0,1,2,A,No,Pass
29.0,78.0,High,Yes,Medium,Yes,Female,28.0,0,2.0,1,67.0,91.0,1,2,A,Yes,Pass
19.0,99.0,High,No,Medium,Yes,Male,25.0,3,13.0,1,91.0,56.0,1,0,C,No,Pass
19.0,99.0,Medium,No,Medium,Yes,Male,25.0,3,13.0,1,91.0,56.0,1,0,C,No,Pass
19.0,99.0,High,No,Low,Yes,Male,25.0,3,13.0,1,91.0,56.0,1,0,C,No,Pass
19.0,99.0,High,Yes,Low,Yes,Male,25.0,3,13.0,1,91.0,56.0,1,0,C,Yes,Pass
19.0,99.0,Low,No,Medium,Yes,Male,25.0,3,13.0,1,91.0,56.0,1,0,C,No,Pass
19.0,99.0,Medium,Yes,Low,Yes,Male,25.0,3,13.0,1,91.0,56.0,1,0,C,Yes,Pass
19.0,99.0,Medium,Yes,Medium,Yes,Male,25.0,3,13.0,1,91.0,56.0,1,0,C,Yes,Pass
19.0,99.0,Low,No,High,Yes,Male,25.0,3,13.0,1,91.0,56.0,1,0,C,No,Pass
19.0,99.0,High,Yes,Medium,Yes,Male,25.0,3,13.0,1,91.0,56.0,1,0,C,Yes,Pass
20.0,74.0,High,No,Low,Yes,Female,22.0,3,3.0,1,93.0,97.0,1,2,A,No,Pass
20.0,74.0,High,No,Low,Yes,Female,24.0,1,20.0,1,68.0,67.0,0,1,C,No,Pass
20.0,74.0,High,No,Low,Yes,Female,29.0,0,13.0,0,80.0,65.0,0,0,C,No,Pass
20.0,74.0,Medium,Yes,Low,Yes,Female,22.0,3,3.0,1,93.0,97.0,1,2,A,Yes,Pass
20.0,74.0,Medium,Yes,Low,Yes,Female,24.0,1,20.0,1,68.0,67.0,0,1,C,Yes,Pass
20.0,74.0,Medium,Yes,Low,Yes,Female,29.0,0,13.0,0,80.0,65.0,0,0,C,Yes,Pass
20.0,74.0,High,Yes,Medium,No,Female,22.0,3,3.0,1,93.0,97.0,1,2,A,Yes,Pass
20.0,74.0,High,Yes,Medium,No,Female,24.0,1,20.0,1,68.0,67.0,0,1,C,Yes,Pass
20.0,74.0,High,Yes,Medium,No,Female,29.0,0,13.0,0,80.0,65.0,0,0,C,Yes,Pass
20.0,74.0,Medium,Yes,High,Yes,Female,22.0,3,3.0,1,93.0,97.0,1,2,A,Yes,Pass
20.0,74.0,Medium,Yes,High,Yes,Female,24.0,1,20.0,1,68.0,67.0,0,1,C,Yes,Pass
20.0,74.0,Medium,Yes,High,Yes,Female,29.0,0,13.0,0,80.0,65.0,0,0,C,Yes,Pass
20.0,74.0,Low,Yes,High,Yes,Female,22.0,3,3.0,1,93.0,97.0,1,2,A,Yes,Pass
20.0,74.0,Low,Yes,High,Yes,Female,24.0,1,20.0,1,68.0,67.0,0,1,C,Yes,Pass
20.0,74.0,Low,Yes,High,Yes,Female,29.0,0,13.0,0,80.0,65.0,0,0,C,Yes,Pass
11.0,78.0,Medium,Yes,High,Yes,Male,25.0,2,4.0,1,59.0,77.0,0,1,B,Yes,Pass
11.0,78.0,Medium,Yes,High,Yes,Male,27.0,0,15.0,0,69.0,77.0,1,2,B,Yes,Pass
11.0,78.0,Medium,Yes,High,Yes,Male,18.0,0,13.0,0,62.0,90.0,1,2,A,Yes,Pass
11.0,78.0,Medium,Yes,High,Yes,Male,19.0,2,3.0,1,80.0,98.0,1,2,A,Yes,Pass
11.0,78.0,Medium,Yes,High,Yes,Male,21.0,3,8.0,1,96.0,83.0,1,1,B,Yes,Pass
11.0,78.0,High,Yes,Medium,Yes,Male,25.0,2,4.0,1,59.0,77.0,0,1,B,Yes,Pass
11.0,78.0,High,Yes,Medium,Yes,Male,27.0,0,15.0,0,69.0,77.0,1,2,B,Yes,Pass
11.0,78.0,High,Yes,Medium,Yes,Male,18.0,0,13.0,0,62.0,90.0,1,2,A,Yes,Pass
11.0,78.0,High,Yes,Medium,Yes,Male,19.0,2,3.0,1,80.0,98.0,1,2,A,Yes,Pass
11.0,78.0,High,Yes,Medium,Yes,Male,21.0,3,8.0,1,96.0,83.0,1,1,B,Yes,Pass
17.0,65.0,High,Yes,Medium,Yes,Female,28.0,2,12.0,0,88.0,72.0,0,0,B,Yes,Pass
17.0,65.0,High,Yes,Medium,Yes,Female,21.0,1,16.0,0,79.0,58.0,1,2,C,Yes,Pass
17.0,65.0,Low,Yes,Medium,Yes,Female,28.0,2,12.0,0,88.0,72.0,0,0,B,Yes,Pass
17.0,65.0,Low,Yes,Medium,Yes,Female,21.0,1,16.0,0,79.0,58.0,1,2,C,Yes,Pass
17.0,65.0,Medium,No,Medium,Yes,Female,28.0,2,12.0,0,88.0,72.0,0,0,B,No,Pass
17.0,65.0,Medium,No,Medium,Yes,Female,21.0,1,16.0,0,79.0,58.0,1,2,C,No,Pass
21.0,62.0,Low,Yes,High,Yes,Male,26.0,2,9.0,1,65.0,46.0,0,2,D,Yes,Fail
21.0,62.0,Low,No,High,Yes,Male,26.0,2,9.0,1,65.0,46.0,0,2,D,No,Fail
21.0,62.0,Medium,No,Medium,Yes,Male,26.0,2,9.0,1,65.0,46.0,0,2,D,No,Fail
13.0,91.0,Medium,No,Medium,Yes,Female,19.0,0,7.0,1,64.0,63.0,0,1,C,No,Pass
13.0,91.0,Medium,No,Medium,Yes,Female,25.0,3,12.0,0,73.0,77.0,0,2,B,No,Pass
13.0,91.0,Medium,No,Medium,Yes,Female,21.0,0,13.0,1,98.0,100.0,0,2,A,No,Pass
13.0,91.0,Medium,No,Medium,Yes,Female,29.0,1,3.0,1,66.0,90.0,1,2,A,No,Pass
13.0,91.0,Medium,No,Medium,Yes,Female,28.0,1,11.0,1,85.0,46.0,1,2,D,No,Fail
13.0,91.0,Medium,No,Medium,Yes,Female,19.0,2,18.0,0,89.0,61.0,0,2,C,No,Pass
13.0,91.0,Medium,Yes,Medium,Yes,Female,19.0,0,7.0,1,64.0,63.0,0,1,C,Yes,Pass
13.0,91.0,Medium,Yes,Medium,Yes,Female,25.0,3,12.0,0,73.0,77.0,0,2,B,Yes,Pass
13.0,91.0,Medium,Yes,Medium,Yes,Female,21.0,0,13.0,1,98.0,100.0,0,2,A,Yes,Pass
13.0,91.0,Medium,Yes,Medium,Yes,Female,29.0,1,3.0,1,66.0,90.0,1,2,A,Yes,Pass
13.0,91.0,Medium,Yes,Medium,Yes,Female,28.0,1,11.0,1,85.0,46.0,1,2,D,Yes,Fail
13.0,91.0,Medium,Yes,Medium,Yes,Female,19.0,2,18.0,0,89.0,61.0,0,2,C,Yes,Pass
22.0,83.0,High,Yes,Medium,Yes,Male,28.0,2,11.0,0,96.0,75.0,1,2,B,Yes,Pass
22.0,83.0,Medium,Yes,High,Yes,Male,28.0,2,11.0,0,96.0,75.0,1,2,B,Yes,Pass
22.0,83.0,Medium,Yes,High,No,Male,28.0,2,11.0,0,96.0,75.0,1,2,B,Yes,Pass
22.0,83.0,Low,Yes,Medium,Yes,Male,28.0,2,11.0,0,96.0,75.0,1,2,B,Yes,Pass
16.0,90.0,Medium,No,Medium,Yes,Female,19.0,1,0.0,1,90.0,52.0,0,2,D,No,Fail
16.0,90.0,Medium,No,High,No,Female,19.0,1,0.0,1,90.0,52.0,0,2,D,No,Fail
16.0,90.0,High,Yes,Medium,Yes,Female,19.0,1,0.0,1,90.0,52.0,0,2,D,Yes,Fail
16.0,90.0,High,Yes,High,Yes,Female,19.0,1,0.0,1,90.0,52.0,0,2,D,Yes,Fail
18.0,66.0,High,No,Low,Yes,Male,22.0,1,3.0,0,50.0,73.0,1,1,B,No,Pass
18.0,66.0,High,No,Low,Yes,Male,27.0,2,11.0,0,57.0,60.0,1,0,C,No,Pass
18.0,66.0,Medium,No,Medium,Yes,Male,22.0,1,3.0,0,50.0,73.0,1,1,B,No,Pass
18.0,66.0,Medium,No,Medium,Yes,Male,27.0,2,11.0,0,57.0,60.0,1,0,C,No,Pass
18.0,66.0,High,No,Medium,Yes,Male,22.0,1,3.0,0,50.0,73.0,1,1,B,No,Pass
18.0,66.0,High,No,Medium,Yes,Male,27.0,2,11.0,0,57.0,60.0,1,0,C,No,Pass
18.0,66.0,High,Yes,Medium,Yes,Male,22.0,1,3.0,0,50.0,73.0,1,1,B,Yes,Pass
18.0,66.0,High,Yes,Medium,Yes,Male,27.0,2,11.0,0,57.0,60.0,1,0,C,Yes,Pass
18.0,66.0,Medium,Yes,Low,No,Male,22.0,1,3.0,0,50.0,73.0,1,1,B,Yes,Pass
18.0,66.0,Medium,Yes,Low,No,Male,27.0,2,11.0,0,57.0,60.0,1,0,C,Yes,Pass
18.0,66.0,High,Yes,Medium,No,Male,22.0,1,3.0,0,50.0,73.0,1,1,B,Yes,Pass
18.0,66.0,High,Yes,Medium,No,Male,27.0,2,11.0,0,57.0,60.0,1,0,C,Yes,Pass
18.0,66.0,Medium,Yes,High,Yes,Male,22.0,1,3.0,0,50.0,73.0,1,1,B,Yes,Pass
18.0,66.0,Medium,Yes,High,Yes,Male,27.0,2,11.0,0,57.0,60.0,1,0,C,Yes,Pass
18.0,66.0,Medium,Yes,Medium,Yes,Male,22.0,1,3.0,0,50.0,73.0,1,1,B,Yes,Pass
18.0,66.0,Medium,Yes,Medium,Yes,Male,27.0,2,11.0,0,57.0,60.0,1,0,C,Yes,Pass
16.0,83.0,Medium,No,Medium,Yes,Female,27.0,1,12.0,1,52.0,66.0,0,1,C,No,Pass
16.0,83.0,Medium,No,Medium,Yes,Female,26.0,1,0.0,0,96.0,56.0,1,0,C,No,Pass
16.0,83.0,High,Yes,Low,Yes,Female,27.0,1,12.0,1,52.0,66.0,0,1,C,Yes,Pass
16.0,83.0,High,Yes,Low,Yes,Female,26.0,1,0.0,0,96.0,56.0,1,0,C,Yes,Pass
16.0,83.0,Medium,Yes,Medium,Yes,Female,27.0,1,12.0,1,52.0,66.0,0,1,C,Yes,Pass
16.0,83.0,Medium,Yes,Medium,Yes,Female,26.0,1,0.0,0,96.0,56.0,1,0,C,Yes,Pass
16.0,83.0,Medium,Yes,High,Yes,Female,27.0,1,12.0,1,52.0,66.0,0,1,C,Yes,Pass
