,StudyHours,Attendance,Resources,Extracurricular,Motivation,Internet,Gender,Age,LearningStyle,OnlineCourses,Discussions,AssignmentCompletion,ExamScore,EduTech,StressLevel,FinalGrade,ActiveLearner,PassStatus
24,24.0,98.0,Low,No,High,Yes,Male,29.0,0,3.0,0,65.0,46.0,1,2,D,No,Fail
25,24.0,98.0,Low,No,High,Yes,Male,27.0,0,0.0,1,71.0,83.0,1,0,B,No,Pass
26,24.0,98.0,Low,No,High,Yes,Male,25.0,1,5.0,1,61.0,95.0,1,0,A,No,Pass
27,24.0,98.0,Low,No,Medium,Yes,Male,29.0,0,3.0,0,65.0,46.0,1,2,D,No,Fail
28,24.0,98.0,Low,No,Medium,Yes,Male,27.0,0,0.0,1,71.0,83.0,1,0,B,No,Pass
29,24.0,98.0,Low,No,Medium,Yes,Male,25.0,1,5.0,1,61.0,95.0,1,0,A,No,Pass
30,24.0,98.0,Medium,Yes,High,Yes,Male,29.0,0,3.0,0,65.0,46.0,1,2,D,Yes,Fail
31,24.0,98.0,Medium,Yes,High,Yes,Male,27.0,0,0.0,1,71.0,83.0,1,0,B,Yes,Pass
32,24.0,98.0,Medium,Yes,High,Yes,Male,25.0,1,5.0,1,61.0,95.0,1,0,A,Yes,Pass
33,24.0,98.0,Low,No,Low,No,Male,29.0,0,3.0,0,65.0,46.0,1,2,D,No,Fail
34,24.0,98.0,Low,No,Low,No,Male,27.0,0,0.0,1,71.0,83.0,1,0,B,No,Pass
35,24.0,98.0,Low,No,Low,No,Male,25.0,1,5.0,1,61.0,95.0,1,0,A,No,Pass
36,29.0,89.0,Medium,Yes,Medium,Yes,Male,20.0,0,17.0,1,75.0,54.0,1,2,D,Yes,Fail
37,29.0,89.0,Medium,Yes,Medium,Yes,Male,23.0,2,4.0,1,59.0,42.0,1,2,D,Yes,Fail
38,29.0,89.0,Medium,Yes,Medium,Yes,Male,23.0,0,1.0,0,96.0,62.0,1,2,C,Yes,Pass
39,29.0,89.0,Low,Yes,Low,Yes,Male,20.0,0,17.0,1,75.0,54.0,1,2,D,Yes,Fail
40,29.0,89.0,Low,Yes,Low,Yes,Male,23.0,2,4.0,1,59.0,42.0,1,2,D,Yes,Fail
41,29.0,89.0,Low,Yes,Low,Yes,Male,23.0,0,1.0,0,96.0,62.0,1,2,C,Yes,Pass
42,19.0,92.0,Medium,Yes,Medium,Yes,Female,19.0,3,12.0,1,63.0,40.0,1,2,D,Yes,Fail
43,19.0,92.0,Medium,Yes,Medium,Yes,Female,26.0,2,3.0,0,86.0,94.0,1,2,A,Yes,Pass
44,19.0,92.0,High,No,Medium,Yes,Female,19.0,3,12.0,1,63.0,40.0,1,2,D,No,Fail
45,19.0,92.0,High,No,Medium,Yes,Female,26.0,2,3.0,0,86.0,94.0,1,2,A,No,Pass
46,19.0,92.0,High,Yes,Medium,Yes,Female,19.0,3,12.0,1,63.0,40.0,1,2,D,Yes,Fail
47,19.0,92.0,High,Yes,Medium,Yes,Female,26.0,2,3.0,0,86.0,94.0,1,2,A,Yes,Pass
50,19.0,92.0,Medium,No,High,Yes,Female,19.0,3,12.0,1,63.0,40.0,1,2,D,No,Fail
51,19.0,92.0,Medium,No,High,Yes,Female,26.0,2,3.0,0,86.0,94.0,1,2,A,No,Pass
52,29.0,84.0,Low,Yes,Low,Yes,Male,21.0,2,10.0,1,57.0,48.0,1,2,D,Yes,Fail
53,29.0,84.0,Low,Yes,Low,Yes,Male,28.0,2,14.0,0,74.0,60.0,1,0,C,Yes,Pass
54,29.0,84.0,Medium,Yes,Medium,Yes,Male,21.0,2,10.0,1,57.0,48.0,1,2,D,Yes,Fail
55,29.0,84.0,Medium,Yes,Medium,Yes,Male,28.0,2,14.0,0,74.0,60.0,1,0,C,Yes,Pass
56,25.0,78.0,High,Yes,Medium,Yes,Male,18.0,2,17.0,0,91.0,58.0,1,2,C,Yes,Pass
57,25.0,78.0,Low,Yes,Medium,Yes,Male,18.0,2,17.0,0,91.0,58.0,1,2,C,Yes,Pass
58,17.0,94.0,High,No,High,Yes,Male,19.0,3,3.0,1,74.0,92.0,0,2,A,No,Pass
59,17.0,94.0,Medium,No,Low,Yes,Male,19.0,3,3.0,1,74.0,92.0,0,2,A,No,Pass
60,17.0,94.0,Medium,No,Medium,Yes,Male,19.0,3,3.0,1,74.0,92.0,0,2,A,No,Pass
61,17.0,94.0,Medium,Yes,Medium,Yes,Male,19.0,3,3.0,1,74.0,92.0,0,2,A,Yes,Pass
62,17.0,94.0,Low,No,High,Yes,Male,19.0,3,3.0,1,74.0,92.0,0,2,A,No,Pass
63,17.0,94.0,Low,Yes,Low,Yes,Male,19.0,3,3.0,1,74.0,92.0,0,2,A,Yes,Pass
64,17.0,94.0,High,Yes,Medium,Yes,Male,19.0,3,3.0,1,74.0,92.0,0,2,A,Yes,Pass
65,23.0,98.0,Medium,Yes,Medium,Yes,Male,27.0,2,5.0,0,65.0,58.0,0,2,C,Yes,Pass
66,23.0,98.0,Medium,Yes,Medium,Yes,Male,27.0,1,4.0,1,100.0,93.0,0,2,A,Yes,Pass
69,23.0,98.0,Low,No,Medium,Yes,Male,27.0,2,5.0,0,65.0,58.0,0,2,C,No,Pass
70,23.0,98.0,Low,No,Medium,Yes,Male,27.0,1,4.0,1,100.0,93.0,0,2,A,No,Pass
71,23.0,98.0,High,No,Medium,Yes,Male,27.0,2,5.0,0,65.0,58.0,0,2,C,No,Pass
72,23.0,98.0,High,No,Medium,Yes,Male,27.0,1,4.0,1,100.0,93.0,0,2,A,No,Pass
73,23.0,98.0,High,Yes,Low,Yes,Male,27.0,2,5.0,0,65.0,58.0,0,2,C,Yes,Pass
74,23.0,98.0,High,Yes,Low,Yes,Male,27.0,1,4.0,1,100.0,93.0,0,2,A,Yes,Pass
75,17.0,80.0,High,No,Medium,No,Male,18.0,1,13.0,1,68.0,73.0,0,2,B,No,Pass
76,17.0,80.0,High,No,Medium,No,Male,24.0,3,11.0,1,64.0,69.0,1,0,C,No,Pass
77,17.0,80.0,High,No,Medium,No,Male,23.0,0,7.0,1,68.0,87.0,1,1,A,No,Pass
78,17.0,80.0,High,No,Medium,No,Male,27.0,0,12.0,0,64.0,88.0,1,0,A,No,Pass
79,17.0,80.0,High,No,Medium,No,Male,29.0,1,0.0,1,73.0,78.0,1,0,B,No,Pass
80,17.0,80.0,Medium,No,Medium,Yes,Male,18.0,1,13.0,1,68.0,73.0,0,2,B,No,Pass
81,17.0,80.0,Medium,No,Medium,Yes,Male,24.0,3,11.0,1,64.0,69.0,1,0,C,No,Pass
82,17.0,80.0,Medium,No,Medium,Yes,Male,23.0,0,7.0,1,68.0,87.0,1,1,A,No,Pass
83,17.0,80.0,Medium,No,Medium,Yes,Male,27.0,0,12.0,0,64.0,88.0,1,0,A,No,Pass
84,17.0,80.0,Medium,No,Medium,Yes,Male,29.0,1,0.0,1,73.0,78.0,1,0,B,No,Pass
85,17.0,80.0,High,No,Medium,Yes,Male,18.0,1,13.0,1,68.0,73.0,0,2,B,No,Pass
86,17.0,80.0,High,No,Medium,Yes,Male,24.0,3,11.0,1,64.0,69.0,1,0,C,No,Pass
87,17.0,80.0,High,No,Medium,Yes,Male,23.0,0,7.0,1,68.0,87.0,1,1,A,No,Pass
88,17.0,80.0,High,No,Medium,Yes,Male,27.0,0,12.0,0,64.0,88.0,1,0,A,No,Pass
89,17.0,80.0,High,No,Medium,Yes,Male,29.0,1,0.0,1,73.0,78.0,1,0,B,No,Pass
90,17.0,97.0,High,Yes,Low,Yes,Male,27.0,1,9.0,0,64.0,87.0,1,1,A,Yes,Pass
91,17.0,97.0,High,Yes,Low,Yes,Male,25.0,2,20.0,1,70.0,82.0,1,1,B,Yes,Pass
92,17.0,97.0,Medium,No,Medium,Yes,Male,27.0,1,9.0,0,64.0,87.0,1,1,A,No,Pass
93,17.0,97.0,Medium,No,Medium,Yes,Male,25.0,2,20.0,1,70.0,82.0,1,1,B,No,Pass
94,17.0,97.0,High,No,High,Yes,Male,27.0,1,9.0,0,64.0,87.0,1,1,A,No,Pass
95,17.0,97.0,High,No,High,Yes,Male,25.0,2,20.0,1,70.0,82.0,1,1,B,No,Pass
96,17.0,97.0,High,Yes,Medium,No,Male,27.0,1,9.0,0,64.0,87.0,1,1,A,Yes,Pass
97,17.0,97.0,High,Yes,Medium,No,Male,25.0,2,20.0,1,70.0,82.0,1,1,B,Yes,Pass
98,17.0,97.0,High,No,Medium,Yes,Male,27.0,1,9.0,0,64.0,87.0,1,1,A,No,Pass
99,17.0,97.0,High,No,Medium,Yes,Male,25.0,2,20.0,1,70.0,82.0,1,1,B,No,Pass
102,17.0,97.0,Low,Yes,Medium,Yes,Male,27.0,1,9.0,0,64.0,87.0,1,1,A,Yes,Pass
103,17.0,97.0,Low,Yes,Medium,Yes,Male,25.0,2,20.0,1,70.0,82.0,1,1,B,Yes,Pass
104,17.0,97.0,Medium,Yes,Medium,Yes,Male,27.0,1,9.0,0,64.0,87.0,1,1,A,Yes,Pass
105,17.0,97.0,Medium,Yes,Medium,Yes,Male,25.0,2,20.0,1,70.0,82.0,1,1,B,Yes,Pass
106,17.0,97.0,Low,No,High,No,Male,27.0,1,9.0,0,64.0,87.0,1,1,A,No,Pass
107,17.0,97.0,Low,No,High,No,Male,25.0,2,20.0,1,70.0,82.0,1,1,B,No,Pass
108,17.0,97.0,Medium,Yes,Low,Yes,Male,27.0,1,9.0,0,64.0,87.0,1,1,A,Yes,Pass
109,17.0,97.0,Medium,Yes,Low,Yes,Male,25.0,2,20.0,1,70.0,82.0,1,1,B,Yes,Pass
110,21.0,83.0,Medium,Yes,Low,Yes,Male,27.0,2,1.0,0,66.0,86.0,0,1,A,Yes,Pass
111,21.0,83.0,Medium,Yes,Low,Yes,Male,27.0,0,7.0,1,77.0,96.0,1,1,A,Yes,Pass
114,21.0,83.0,Medium,Yes,High,Yes,Male,27.0,2,1.0,0,66.0,86.0,0,1,A,Yes,Pass
115,21.0,83.0,Medium,Yes,High,Yes,Male,27.0,0,7.0,1,77.0,96.0,1,1,A,Yes,Pass
116,21.0,83.0,Low,No,Low,Yes,Male,27.0,2,1.0,0,66.0,86.0,0,1,A,No,Pass
117,21.0,83.0,Low,No,Low,Yes,Male,27.0,0,7.0,1,77.0,96.0,1,1,A,No,Pass
118,21.0,83.0,Low,Yes,Low,Yes,Male,27.0,2,1.0,0,66.0,86.0,0,1,A,Yes,Pass
119,21.0,83.0,Low,Yes,Low,Yes,Male,27.0,0,7.0,1,77.0,96.0,1,1,A,Yes,Pass
120,21.0,83.0,High,Yes,High,Yes,Male,27.0,2,1.0,0,66.0,86.0,0,1,A,Yes,Pass
121,21.0,83.0,High,Yes,High,Yes,Male,27.0,0,7.0,1,77.0,96.0,1,1,A,Yes,Pass
122,21.0,83.0,High,No,Medium,Yes,Male,27.0,2,1.0,0,66.0,86.0,0,1,A,No,Pass
123,21.0,83.0,High,No,Medium,Yes,Male,27.0,0,7.0,1,77.0,96.0,1,1,A,No,Pass
124,9.0,82.0,Medium,Yes,Medium,Yes,Male,18.0,3,17.0,0,55.0,40.0,1,2,D,Yes,Fail
125,9.0,82.0,Medium,Yes,Medium,Yes,Male,25.0,3,13.0,0,73.0,46.0,1,2,D,Yes,Fail
126,10.0,78.0,High,Yes,Medium,Yes,Male,27.0,2,5.0,0,71.0,68.0,1,2,C,Yes,Pass
127,10.0,78.0,High,Yes,Medium,Yes,Male,20.0,3,17.0,0,85.0,78.0,1,2,B,Yes,Pass
128,17.0,68.0,Medium,No,Medium,Yes,Female,19.0,3,0.0,1,75.0,42.0,1,1,D,No,Fail
129,17.0,68.0,Medium,No,Medium,Yes,Female,24.0,2,4.0,1,87.0,64.0,1,2,C,No,Pass
130,17.0,68.0,Medium,No,Medium,Yes,Female,20.0,3,19.0,1,88.0,49.0,1,1,D,No,Fail
131,17.0,68.0,Medium,Yes,Medium,Yes,Female,19.0,3,0.0,1,75.0,42.0,1,1,D,Yes,Fail
132,17.0,68.0,Medium,Yes,Medium,Yes,Female,24.0,2,4.0,1,87.0,64.0,1,2,C,Yes,Pass
133,17.0,68.0,Medium,Yes,Medium,Yes,Female,20.0,3,19.0,1,88.0,49.0,1,1,D,Yes,Fail
134,17.0,68.0,Medium,No,High,Yes,Female,19.0,3,0.0,1,75.0,42.0,1,1,D,No,Fail
135,17.0,68.0,Medium,No,High,Yes,Female,24.0,2,4.0,1,87.0,64.0,1,2,C,No,Pass
136,17.0,68.0,Medium,No,High,Yes,Female,20.0,3,19.0,1,88.0,49.0,1,1,D,No,Fail
137,17.0,68.0,High,Yes,Medium,Yes,Female,19.0,3,0.0,1,75.0,42.0,1,1,D,Yes,Fail
138,17.0,68.0,High,Yes,Medium,Yes,Female,24.0,2,4.0,1,87.0,64.0,1,2,C,Yes,Pass
139,17.0,68.0,High,Yes,Medium,Yes,Female,20.0,3,19.0,1,88.0,49.0,1,1,D,Yes,Fail
140,17.0,68.0,Low,Yes,High,Yes,Female,19.0,3,0.0,1,75.0,42.0,1,1,D,Yes,Fail
141,17.0,68.0,Low,Yes,High,Yes,Female,24.0,2,4.0,1,87.0,64.0,1,2,C,Yes,Pass
142,17.0,68.0,Low,Yes,High,Yes,Female,20.0,3,19.0,1,88.0,49.0,1,1,D,Yes,Fail
143,22.0,70.0,Medium,Yes,Medium,Yes,Female,22.0,3,1.0,1,74.0,40.0,1,2,D,Yes,Fail
144,22.0,70.0,Medium,No,Low,Yes,Female,22.0,3,1.0,1,74.0,40.0,1,2,D,No,Fail
145,22.0,70.0,High,Yes,High,Yes,Female,22.0,3,1.0,1,74.0,40.0,1,2,D,Yes,Fail
146,22.0,70.0,Medium,Yes,Low,Yes,Female,22.0,3,1.0,1,74.0,40.0,1,2,D,Yes,Fail
147,22.0,70.0,High,Yes,Medium,Yes,Female,22.0,3,1.0,1,74.0,40.0,1,2,D,Yes,Fail
148,15.0,80.0,Medium,Yes,Low,Yes,Female,23.0,2,2.0,0,50.0,56.0,0,1,C,Yes,Pass
149,15.0,80.0,Medium,Yes,Low,Yes,Female,21.0,2,7.0,1,87.0,89.0,1,0,A,Yes,Pass
150,15.0,80.0,Medium,Yes,Low,Yes,Female,23.0,1,13.0,1,56.0,75.0,1,2,B,Yes,Pass
151,15.0,80.0,High,No,Medium,Yes,Female,23.0,2,2.0,0,50.0,56.0,0,1,C,No,Pass
152,15.0,80.0,High,No,Medium,Yes,Female,21.0,2,7.0,1,87.0,89.0,1,0,A,No,Pass
153,15.0,80.0,High,No,Medium,Yes,Female,23.0,1,13.0,1,56.0,75.0,1,2,B,No,Pass
154,15.0,80.0,Low,No,High,Yes,Female,23.0,2,2.0,0,50.0,56.0,0,1,C,No,Pass
155,15.0,80.0,Low,No,High,Yes,Female,21.0,2,7.0,1,87.0,89.0,1,0,A,No,Pass
156,15.0,80.0,Low,No,High,Yes,Female,23.0,1,13.0,1,56.0,75.0,1,2,B,No,Pass
157,15.0,80.0,Medium,No,Medium,Yes,Female,23.0,2,2.0,0,50.0,56.0,0,1,C,No,Pass
158,15.0,80.0,Medium,No,Medium,Yes,Female,21.0,2,7.0,1,87.0,89.0,1,0,A,No,Pass
159,15.0,80.0,Medium,No,Medium,Yes,Female,23.0,1,13.0,1,56.0,75.0,1,2,B,No,Pass
160,15.0,80.0,Medium,Yes,Medium,Yes,Female,23.0,2,2.0,0,50.0,56.0,0,1,C,Yes,Pass
161,15.0,80.0,Medium,Yes,Medium,Yes,Female,21.0,2,7.0,1,87.0,89.0,1,0,A,Yes,Pass
162,15.0,80.0,Medium,Yes,Medium,Yes,Female,23.0,1,13.0,1,56.0,75.0,1,2,B,Yes,Pass
166,12.0,75.0,High,Yes,Medium,Yes,Male,21.0,0,16.0,1,66.0,71.0,1,2,B,Yes,Pass
167,12.0,75.0,High,Yes,Medium,Yes,Male,22.0,2,20.0,1,55.0,48.0,1,1,D,Yes,Fail
170,29.0,78.0,Medium,No,High,Yes,Female,28.0,0,2.0,1,67.0,91.0,1,2,A,No,Pass
171,29.0,78.0,High,Yes,Medium,Yes,Female,28.0,0,2.0,1,67.0,91.0,1,2,A,Yes,Pass
172,19.0,99.0,High,No,Medium,Yes,Male,25.0,3,13.0,1,91.0,56.0,1,0,C,No,Pass
173,19.0,99.0,Medium,No,Medium,Yes,Male,25.0,3,13.0,1,91.0,56.0,1,0,C,No,Pass
174,19.0,99.0,High,No,Low,Yes,Male,25.0,3,13.0,1,91.0,56.0,1,0,C,No,Pass
175,19.0,99.0,High,Yes,Low,Yes,Male,25.0,3,13.0,1,91.0,56.0,1,0,C,Yes,Pass
176,19.0,99.0,Low,No,Medium,Yes,Male,25.0,3,13.0,1,91.0,56.0,1,0,C,No,Pass
177,19.0,99.0,Medium,Yes,Low,Yes,Male,25.0,3,13.0,1,91.0,56.0,1,0,C,Yes,Pass
178,19.0,99.0,Medium,Yes,Medium,Yes,Male,25.0,3,13.0,1,91.0,56.0,1,0,C,Yes,Pass
180,19.0,99.0,Low,No,High,Yes,Male,25.0,3,13.0,1,91.0,56.0,1,0,C,No,Pass
181,19.0,99.0,High,Yes,Medium,Yes,Male,25.0,3,13.0,1,91.0,56.0,1,0,C,Yes,Pass
184,20.0,74.0,High,No,Low,Yes,Female,22.0,3,3.0,1,93.0,97.0,1,2,A,No,Pass
185,20.0,74.0,High,No,Low,Yes,Female,24.0,1,20.0,1,68.0,67.0,0,1,C,No,Pass
186,20.0,74.0,High,No,Low,Yes,Female,29.0,0,13.0,0,80.0,65.0,0,0,C,No,Pass
187,20.0,74.0,Medium,Yes,Low,Yes,Female,22.0,3,3.0,1,93.0,97.0,1,2,A,Yes,Pass
188,20.0,74.0,Medium,Yes,Low,Yes,Female,24.0,1,20.0,1,68.0,67.0,0,1,C,Yes,Pass
189,20.0,74.0,Medium,Yes,Low,Yes,Female,29.0,0,13.0,0,80.0,65.0,0,0,C,Yes,Pass
190,20.0,74.0,High,Yes,Medium,No,Female,22.0,3,3.0,1,93.0,97.0,1,2,A,Yes,Pass
191,20.0,74.0,High,Yes,Medium,No,Female,24.0,1,20.0,1,68.0,67.0,0,1,C,Yes,Pass
192,20.0,74.0,High,Yes,Medium,No,Female,29.0,0,13.0,0,80.0,65.0,0,0,C,Yes,Pass
193,20.0,74.0,Medium,Yes,High,Yes,Female,22.0,3,3.0,1,93.0,97.0,1,2,A,Yes,Pass
194,20.0,74.0,Medium,Yes,High,Yes,Female,24.0,1,20.0,1,68.0,67.0,0,1,C,Yes,Pass
195,20.0,74.0,Medium,Yes,High,Yes,Female,29.0,0,13.0,0,80.0,65.0,0,0,C,Yes,Pass
196,20.0,74.0,Low,Yes,High,Yes,Female,22.0,3,3.0,1,93.0,97.0,1,2,A,Yes,Pass
197,20.0,74.0,Low,Yes,High,Yes,Female,24.0,1,20.0,1,68.0,67.0,0,1,C,Yes,Pass
198,20.0,74.0,Low,Yes,High,Yes,Female,29.0,0,13.0,0,80.0,65.0,0,0,C,Yes,Pass
199,11.0,78.0,Medium,Yes,High,Yes,Male,25.0,2,4.0,1,59.0,77.0,0,1,B,Yes,Pass
200,11.0,78.0,Medium,Yes,High,Yes,Male,27.0,0,15.0,0,69.0,77.0,1,2,B,Yes,Pass
201,11.0,78.0,Medium,Yes,High,Yes,Male,18.0,0,13.0,0,62.0,90.0,1,2,A,Yes,Pass
202,11.0,78.0,Medium,Yes,High,Yes,Male,19.0,2,3.0,1,80.0,98.0,1,2,A,Yes,Pass
203,11.0,78.0,Medium,Yes,High,Yes,Male,21.0,3,8.0,1,96.0,83.0,1,1,B,Yes,Pass
204,11.0,78.0,High,Yes,Medium,Yes,Male,25.0,2,4.0,1,59.0,77.0,0,1,B,Yes,Pass
205,11.0,78.0,High,Yes,Medium,Yes,Male,27.0,0,15.0,0,69.0,77.0,1,2,B,Yes,Pass
206,11.0,78.0,High,Yes,Medium,Yes,Male,18.0,0,13.0,0,62.0,90.0,1,2,A,Yes,Pass
207,11.0,78.0,High,Yes,Medium,Yes,Male,19.0,2,3.0,1,80.0,98.0,1,2,A,Yes,Pass
208,11.0,78.0,High,Yes,Medium,Yes,Male,21.0,3,8.0,1,96.0,83.0,1,1,B,Yes,Pass
209,17.0,65.0,High,Yes,Medium,Yes,Female,28.0,2,12.0,0,88.0,72.0,0,0,B,Yes,Pass
210,17.0,65.0,High,Yes,Medium,Yes,Female,21.0,1,16.0,0,79.0,58.0,1,2,C,Yes,Pass
213,17.0,65.0,Low,Yes,Medium,Yes,Female,28.0,2,12.0,0,88.0,72.0,0,0,B,Yes,Pass
214,17.0,65.0,Low,Yes,Medium,Yes,Female,21.0,1,16.0,0,79.0,58.0,1,2,C,Yes,Pass
215,17.0,65.0,Medium,No,Medium,Yes,Female,28.0,2,12.0,0,88.0,72.0,0,0,B,No,Pass
216,17.0,65.0,Medium,No,Medium,Yes,Female,21.0,1,16.0,0,79.0,58.0,1,2,C,No,Pass
219,21.0,62.0,Low,Yes,High,Yes,Male,26.0,2,9.0,1,65.0,46.0,0,2,D,Yes,Fail
220,21.0,62.0,Low,No,High,Yes,Male,26.0,2,9.0,1,65.0,46.0,0,2,D,No,Fail
221,21.0,62.0,Medium,No,Medium,Yes,Male,26.0,2,9.0,1,65.0,46.0,0,2,D,No,Fail
222,13.0,91.0,Medium,No,Medium,Yes,Female,19.0,0,7.0,1,64.0,63.0,0,1,C,No,Pass
223,13.0,91.0,Medium,No,Medium,Yes,Female,25.0,3,12.0,0,73.0,77.0,0,2,B,No,Pass
224,13.0,91.0,Medium,No,Medium,Yes,Female,21.0,0,13.0,1,98.0,100.0,0,2,A,No,Pass
225,13.0,91.0,Medium,No,Medium,Yes,Female,29.0,1,3.0,1,66.0,90.0,1,2,A,No,Pass
226,13.0,91.0,Medium,No,Medium,Yes,Female,28.0,1,11.0,1,85.0,46.0,1,2,D,No,Fail
227,13.0,91.0,Medium,No,Medium,Yes,Female,19.0,2,18.0,0,89.0,61.0,0,2,C,No,Pass
228,13.0,91.0,Medium,Yes,Medium,Yes,Female,19.0,0,7.0,1,64.0,63.0,0,1,C,Yes,Pass
229,13.0,91.0,Medium,Yes,Medium,Yes,Female,25.0,3,12.0,0,73.0,77.0,0,2,B,Yes,Pass
230,13.0,91.0,Medium,Yes,Medium,Yes,Female,21.0,0,13.0,1,98.0,100.0,0,2,A,Yes,Pass
231,13.0,91.0,Medium,Yes,Medium,Yes,Female,29.0,1,3.0,1,66.0,90.0,1,2,A,Yes,Pass
232,13.0,91.0,Medium,Yes,Medium,Yes,Female,28.0,1,11.0,1,85.0,46.0,1,2,D,Yes,Fail
233,13.0,91.0,Medium,Yes,Medium,Yes,Female,19.0,2,18.0,0,89.0,61.0,0,2,C,Yes,Pass
234,22.0,83.0,High,Yes,Medium,Yes,Male,28.0,2,11.0,0,96.0,75.0,1,2,B,Yes,Pass
235,22.0,83.0,Medium,Yes,High,Yes,Male,28.0,2,11.0,0,96.0,75.0,1,2,B,Yes,Pass
236,22.0,83.0,Medium,Yes,High,No,Male,28.0,2,11.0,0,96.0,75.0,1,2,B,Yes,Pass
238,22.0,83.0,Low,Yes,Medium,Yes,Male,28.0,2,11.0,0,96.0,75.0,1,2,B,Yes,Pass
239,16.0,90.0,Medium,No,Medium,Yes,Female,19.0,1,0.0,1,90.0,52.0,0,2,D,No,Fail
240,16.0,90.0,Medium,No,High,No,Female,19.0,1,0.0,1,90.0,52.0,0,2,D,No,Fail
241,16.0,90.0,High,Yes,Medium,Yes,Female,19.0,1,0.0,1,90.0,52.0,0,2,D,Yes,Fail
243,16.0,90.0,High,Yes,High,Yes,Female,19.0,1,0.0,1,90.0,52.0,0,2,D,Yes,Fail
244,18.0,66.0,High,No,Low,Yes,Male,22.0,1,3.0,0,50.0,73.0,1,1,B,No,Pass
245,18.0,66.0,High,No,Low,Yes,Male,27.0,2,11.0,0,57.0,60.0,1,0,C,No,Pass
246,18.0,66.0,Medium,No,Medium,Yes,Male,22.0,1,3.0,0,50.0,73.0,1,1,B,No,Pass
247,18.0,66.0,Medium,No,Medium,Yes,Male,27.0,2,11.0,0,57.0,60.0,1,0,C,No,Pass
248,18.0,66.0,High,No,Medium,Yes,Male,22.0,1,3.0,0,50.0,73.0,1,1,B,No,Pass
249,18.0,66.0,High,No,Medium,Yes,Male,27.0,2,11.0,0,57.0,60.0,1,0,C,No,Pass
250,18.0,66.0,High,Yes,Medium,Yes,Male,22.0,1,3.0,0,50.0,73.0,1,1,B,Yes,Pass
251,18.0,66.0,High,Yes,Medium,Yes,Male,27.0,2,11.0,0,57.0,60.0,1,0,C,Yes,Pass
252,18.0,66.0,Medium,Yes,Low,No,Male,22.0,1,3.0,0,50.0,73.0,1,1,B,Yes,Pass
253,18.0,66.0,Medium,Yes,Low,No,Male,27.0,2,11.0,0,57.0,60.0,1,0,C,Yes,Pass
254,18.0,66.0,High,Yes,Medium,No,Male,22.0,1,3.0,0,50.0,73.0,1,1,B,Yes,Pass
255,18.0,66.0,High,Yes,Medium,No,Male,27.0,2,11.0,0,57.0,60.0,1,0,C,Yes,Pass
256,18.0,66.0,Medium,Yes,High,Yes,Male,22.0,1,3.0,0,50.0,73.0,1,1,B,Yes,Pass
257,18.0,66.0,Medium,Yes,High,Yes,Male,27.0,2,11.0,0,57.0,60.0,1,0,C,Yes,Pass
258,18.0,66.0,Medium,Yes,Medium,Yes,Male,22.0,1,3.0,0,50.0,73.0,1,1,B,Yes,Pass
