ActiveLearner,Age,AssignmentCompletion,Attendance,Discussions,EduTech,ExamScore,Extracurricular,FinalGrade,Gender,Internet,LearningStyle,Motivation,OnlineCourses,PassStatus,Resources,StressLevel,StudyHours
No,24.0,64.0,80.0,1,1,69.0,No,C,Male,Yes,Reading/Writing,Medium,11.0,Pass,High,,17.0
No,23.0,68.0,80.0,1,1,87.0,No,A,Male,Yes,Visual,Medium,7.0,Pass,High,1,17.0
No,27.0,64.0,80.0,0,1,88.0,No,A,Male,Yes,Visual,Medium,12.0,Pass,High,,17.0
No,29.0,73.0,80.0,1,1,78.0,No,B,Male,Yes,Auditory,Medium,0.0,Pass,High,,17.0
Yes,27.0,64.0,97.0,0,1,87.0,Yes,A,Male,Yes,Auditory,Low,9.0,Pass,High,1,17.0
Yes,25.0,70.0,97.0,1,1,82.0,Yes,B,Male,Yes,Kinesthetic,Low,20.0,Pass,High,1,17.0
No,27.0,64.0,97.0,0,1,87.0,No,A,Male,Yes,Auditory,Medium,9.0,Pass,Medium,1,17.0
No,25.0,70.0,97.0,1,1,82.0,No,B,Male,Yes,Kinesthetic,Medium,20.0,Pass,Medium,1,17.0
No,27.0,64.0,97.0,0,1,87.0,No,A,Male,Yes,Auditory,High,9.0,Pass,High,1,17.0
No,25.0,70.0,97.0,1,1,82.0,No,B,Male,Yes,Kinesthetic,High,20.0,Pass,High,1,17.0
Yes,27.0,64.0,97.0,0,1,87.0,Yes,A,Male,No,Auditory,Medium,9.0,Pass,High,1,17.0
Yes,25.0,70.0,97.0,1,1,82.0,Yes,B,Male,No,Kinesthetic,Medium,20.0,Pass,High,1,17.0
No,27.0,64.0,97.0,0,1,87.0,No,A,Male,Yes,Auditory,Medium,9.0,Pass,High,1,17.0
No,25.0,70.0,97.0,1,1,82.0,No,B,Male,Yes,Kinesthetic,Medium,20.0,Pass,High,1,17.0
Yes,27.0,64.0,97.0,0,1,87.0,Yes,A,Male,Yes,Auditory,Medium,9.0,Pass,Low,1,17.0
Yes,25.0,70.0,97.0,1,1,82.0,Yes,B,Male,Yes,Kinesthetic,Medium,20.0,Pass,Low,1,17.0
Yes,27.0,64.0,97.0,0,1,87.0,Yes,A,Male,Yes,Auditory,Medium,9.0,Pass,Medium,1,17.0
Yes,25.0,70.0,97.0,1,1,82.0,Yes,B,Male,Yes,Kinesthetic,Medium,20.0,Pass,Medium,1,17.0
No,27.0,64.0,97.0,0,1,87.0,No,A,Male,No,Auditory,High,9.0,Pass,Low,1,17.0
No,25.0,70.0,97.0,1,1,82.0,No,B,Male,No,Kinesthetic,High,20.0,Pass,Low,1,17.0
Yes,27.0,64.0,97.0,0,1,87.0,Yes,A,Male,Yes,Auditory,Low,9.0,Pass,Medium,1,17.0
Yes,25.0,70.0,97.0,1,1,82.0,Yes,B,Male,Yes,Kinesthetic,Low,20.0,Pass,Medium,1,17.0
Yes,27.0,66.0,83.0,0,0,86.0,Yes,A,Male,Yes,Kinesthetic,Low,1.0,Pass,Medium,1,21.0
Yes,27.0,77.0,83.0,1,1,96.0,Yes,A,Male,Yes,Visual,Low,7.0,Pass,Medium,1,21.0
Yes,27.0,66.0,83.0,0,0,86.0,Yes,A,Male,Yes,Kinesthetic,High,1.0,Pass,Medium,1,21.0
Yes,27.0,77.0,83.0,1,1,96.0,Yes,A,Male,Yes,Visual,High,7.0,Pass,Medium,1,21.0
No,27.0,66.0,83.0,0,0,86.0,No,A,Male,Yes,Kinesthetic,Low,1.0,Pass,Low,1,21.0
No,27.0,77.0,83.0,1,1,96.0,No,A,Male,Yes,Visual,Low,7.0,Pass,Low,1,21.0
Yes,27.0,66.0,83.0,0,0,86.0,Yes,A,Male,Yes,Kinesthetic,Low,1.0,Pass,Low,1,21.0
Yes,27.0,77.0,83.0,1,1,96.0,Yes,A,Male,Yes,Visual,Low,7.0,Pass,Low,1,21.0
Yes,27.0,66.0,83.0,0,0,86.0,Yes,A,Male,Yes,Kinesthetic,High,1.0,Pass,High,1,21.0
Yes,27.0,77.0,83.0,1,1,96.0,Yes,A,Male,Yes,Visual,High,7.0,Pass,High,1,21.0
No,27.0,66.0,83.0,0,0,86.0,No,A,Male,Yes,Kinesthetic,Medium,1.0,Pass,High,1,21.0
No,27.0,77.0,83.0,1,1,96.0,No,A,Male,Yes,Visual,Medium,7.0,Pass,High,1,21.0
Yes,18.0,55.0,82.0,0,1,40.0,Yes,D,Male,Yes,Reading/Writing,Medium,17.0,Fail,Medium,2,9.0
Yes,25.0,73.0,82.0,0,1,46.0,Yes,D,Male,Yes,Reading/Writing,Medium,13.0,Fail,Medium,2,9.0
Yes,27.0,71.0,78.0,0,1,68.0,Yes,C,Male,Yes,Kinesthetic,Medium,5.0,Pass,High,2,10.0
Yes,20.0,85.0,78.0,0,1,78.0,Yes,B,Male,Yes,Reading/Writing,Medium,17.0,Pass,High,2,10.0
No,19.0,75.0,68.0,1,1,42.0,No,D,Female,Yes,Reading/Writing,Medium,0.0,Fail,Medium,1,17.0
No,24.0,87.0,68.0,1,1,64.0,No,C,Female,Yes,Kinesthetic,Medium,4.0,Pass,Medium,2,17.0
No,20.0,88.0,68.0,1,1,49.0,No,D,Female,Yes,Reading/Writing,Medium,19.0,Fail,Medium,1,17.0
Yes,19.0,75.0,68.0,1,1,42.0,Yes,D,Female,Yes,Reading/Writing,Medium,0.0,Fail,Medium,1,17.0
Yes,24.0,87.0,68.0,1,1,64.0,Yes,C,Female,Yes,Kinesthetic,Medium,4.0,Pass,Medium,2,17.0
Yes,20.0,88.0,68.0,1,1,49.0,Yes,D,Female,Yes,Reading/Writing,Medium,19.0,Fail,Medium,1,17.0
No,19.0,75.0,68.0,1,1,42.0,No,D,Female,Yes,Reading/Writing,High,0.0,Fail,Medium,1,17.0
No,24.0,87.0,68.0,1,1,64.0,No,C,Female,Yes,Kinesthetic,High,4.0,Pass,Medium,2,17.0
No,20.0,88.0,68.0,1,1,49.0,No,D,Female,Yes,Reading/Writing,High,19.0,Fail,Medium,1,17.0
Yes,19.0,75.0,68.0,1,1,42.0,Yes,D,Female,Yes,Reading/Writing,Medium,0.0,Fail,High,1,17.0
Yes,24.0,87.0,68.0,1,1,64.0,Yes,C,Female,Yes,Kinesthetic,Medium,4.0,Pass,High,2,17.0
Yes,20.0,88.0,68.0,1,1,49.0,Yes,D,Female,Yes,Reading/Writing,Medium,19.0,Fail,High,1,17.0
Yes,19.0,75.0,68.0,1,1,42.0,Yes,D,Female,Yes,Reading/Writing,High,0.0,Fail,Low,1,17.0
Yes,24.0,87.0,68.0,1,1,64.0,Yes,C,Female,Yes,Kinesthetic,High,4.0,Pass,Low,2,17.0
Yes,20.0,88.0,68.0,1,1,49.0,Yes,D,Female,Yes,Reading/Writing,High,19.0,Fail,Low,1,17.0
Yes,22.0,74.0,70.0,1,1,40.0,Yes,D,Female,Yes,Reading/Writing,Medium,1.0,Fail,Medium,2,22.0
No,22.0,74.0,70.0,1,1,40.0,No,D,Female,Yes,Reading/Writing,Low,1.0,Fail,Medium,2,22.0
Yes,22.0,74.0,70.0,1,1,40.0,Yes,D,Female,Yes,Reading/Writing,High,1.0,Fail,High,2,22.0
Yes,22.0,74.0,70.0,1,1,40.0,Yes,D,Female,Yes,Reading/Writing,Low,1.0,Fail,Medium,2,22.0
Yes,22.0,74.0,70.0,1,1,40.0,Yes,D,Female,Yes,Reading/Writing,Medium,1.0,Fail,High,2,22.0
Yes,23.0,50.0,80.0,0,0,56.0,Yes,C,Female,Yes,Kinesthetic,Low,2.0,Pass,Medium,1,15.0
Yes,21.0,87.0,80.0,1,1,89.0,Yes,A,Female,Yes,Kinesthetic,Low,7.0,Pass,Medium,,15.0
Yes,23.0,56.0,80.0,1,1,75.0,Yes,B,Female,Yes,Auditory,Low,13.0,Pass,Medium,2,15.0
No,23.0,50.0,80.0,0,0,56.0,No,C,Female,Yes,Kinesthetic,Medium,2.0,Pass,High,1,15.0
No,21.0,87.0,80.0,1,1,89.0,No,A,Female,Yes,Kinesthetic,Medium,7.0,Pass,High,,15.0
No,23.0,56.0,80.0,1,1,75.0,No,B,Female,Yes,Auditory,Medium,13.0,Pass,High,2,15.0
No,23.0,50.0,80.0,0,0,56.0,No,C,Female,Yes,Kinesthetic,High,2.0,Pass,Low,1,15.0
No,21.0,87.0,80.0,1,1,89.0,No,A,Female,Yes,Kinesthetic,High,7.0,Pass,Low,,15.0
No,23.0,56.0,80.0,1,1,75.0,No,B,Female,Yes,Auditory,High,13.0,Pass,Low,2,15.0
No,23.0,50.0,80.0,0,0,56.0,No,C,Female,Yes,Kinesthetic,Medium,2.0,Pass,Medium,1,15.0
No,21.0,87.0,80.0,1,1,89.0,No,A,Female,Yes,Kinesthetic,Medium,7.0,Pass,Medium,,15.0
No,23.0,56.0,80.0,1,1,75.0,No,B,Female,Yes,Auditory,Medium,13.0,Pass,Medium,2,15.0
Yes,23.0,50.0,80.0,0,0,56.0,Yes,C,Female,Yes,Kinesthetic,Medium,2.0,Pass,Medium,1,15.0
Yes,21.0,87.0,80.0,1,1,89.0,Yes,A,Female,Yes,Kinesthetic,Medium,7.0,Pass,Medium,,15.0
Yes,23.0,56.0,80.0,1,1,75.0,Yes,B,Female,Yes,Auditory,Medium,13.0,Pass,Medium,2,15.0
Yes,21.0,66.0,75.0,1,1,71.0,Yes,B,Male,Yes,Visual,Medium,16.0,Pass,High,2,12.0
Yes,22.0,55.0,75.0,1,1,48.0,Yes,D,Male,Yes,Kinesthetic,Medium,20.0,Fail,High,1,12.0
No,28.0,67.0,78.0,1,1,91.0,No,A,Female,Yes,Visual,High,2.0,Pass,Medium,2,29.0
Yes,28.0,67.0,78.0,1,1,91.0,Yes,A,Female,Yes,Visual,Medium,2.0,Pass,High,2,29.0
No,25.0,91.0,99.0,1,1,56.0,No,C,Male,Yes,Reading/Writing,Medium,13.0,Pass,High,,19.0
No,25.0,91.0,99.0,1,1,56.0,No,C,Male,Yes,Reading/Writing,Medium,13.0,Pass,Medium,,19.0
No,25.0,91.0,99.0,1,1,56.0,No,C,Male,Yes,Reading/Writing,Low,13.0,Pass,High,,19.0
Yes,25.0,91.0,99.0,1,1,56.0,Yes,C,Male,Yes,Reading/Writing,Low,13.0,Pass,High,,19.0
No,25.0,91.0,99.0,1,1,56.0,No,C,Male,Yes,Reading/Writing,Medium,13.0,Pass,Low,,19.0
Yes,25.0,91.0,99.0,1,1,56.0,Yes,C,Male,Yes,Reading/Writing,Low,13.0,Pass,Medium,,19.0
Yes,25.0,91.0,99.0,1,1,56.0,Yes,C,Male,Yes,Reading/Writing,Medium,13.0,Pass,Medium,,19.0
No,25.0,91.0,99.0,1,1,56.0,No,C,Male,Yes,Reading/Writing,High,13.0,Pass,Low,,19.0
Yes,25.0,91.0,99.0,1,1,56.0,Yes,C,Male,Yes,Reading/Writing,Medium,13.0,Pass,High,,19.0
No,22.0,93.0,74.0,1,1,97.0,No,A,Female,Yes,Reading/Writing,Low,3.0,Pass,High,2,20.0
No,24.0,68.0,74.0,1,0,67.0,No,C,Female,Yes,Auditory,Low,20.0,Pass,High,1,20.0
No,29.0,80.0,74.0,0,0,65.0,No,C,Female,Yes,Visual,Low,13.0,Pass,High,,20.0
Yes,22.0,93.0,74.0,1,1,97.0,Yes,A,Female,Yes,Reading/Writing,Low,3.0,Pass,Medium,2,20.0
Yes,24.0,68.0,74.0,1,0,67.0,Yes,C,Female,Yes,Auditory,Low,20.0,Pass,Medium,1,20.0
Yes,29.0,80.0,74.0,0,0,65.0,Yes,C,Female,Yes,Visual,Low,13.0,Pass,Medium,,20.0
Yes,22.0,93.0,74.0,1,1,97.0,Yes,A,Female,No,Reading/Writing,Medium,3.0,Pass,High,2,20.0
Yes,24.0,68.0,74.0,1,0,67.0,Yes,C,Female,No,Auditory,Medium,20.0,Pass,High,1,20.0
Yes,29.0,80.0,74.0,0,0,65.0,Yes,C,Female,No,Visual,Medium,13.0,Pass,High,,20.0
Yes,22.0,93.0,74.0,1,1,97.0,Yes,A,Female,Yes,Reading/Writing,High,3.0,Pass,Medium,2,20.0
Yes,24.0,68.0,74.0,1,0,67.0,Yes,C,Female,Yes,Auditory,High,20.0,Pass,Medium,1,20.0
Yes,29.0,80.0,74.0,0,0,65.0,Yes,C,Female,Yes,Visual,High,13.0,Pass,Medium,,20.0
Yes,22.0,93.0,74.0,1,1,97.0,Yes,A,Female,Yes,Reading/Writing,High,3.0,Pass,Low,2,20.0
Yes,24.0,68.0,74.0,1,0,67.0,Yes,C,Female,Yes,Auditory,High,20.0,Pass,Low,1,20.0
Yes,29.0,80.0,74.0,0,0,65.0,Yes,C,Female,Yes,Visual,High,13.0,Pass,Low,,20.0
Yes,25.0,59.0,78.0,1,0,77.0,Yes,B,Male,Yes,Kinesthetic,High,4.0,Pass,Medium,1,11.0
Yes,27.0,69.0,78.0,0,1,77.0,Yes,B,Male,Yes,Visual,High,15.0,Pass,Medium,2,11.0
Yes,18.0,62.0,78.0,0,1,90.0,Yes,A,Male,Yes,Visual,High,13.0,Pass,Medium,2,11.0
Yes,19.0,80.0,78.0,1,1,98.0,Yes,A,Male,Yes,Kinesthetic,High,3.0,Pass,Medium,2,11.0
Yes,21.0,96.0,78.0,1,1,83.0,Yes,B,Male,Yes,Reading/Writing,High,8.0,Pass,Medium,1,11.0
Yes,25.0,59.0,78.0,1,0,77.0,Yes,B,Male,Yes,Kinesthetic,Medium,4.0,Pass,High,1,11.0
Yes,27.0,69.0,78.0,0,1,77.0,Yes,B,Male,Yes,Visual,Medium,15.0,Pass,High,2,11.0
Yes,18.0,62.0,78.0,0,1,90.0,Yes,A,Male,Yes,Visual,Medium,13.0,Pass,High,2,11.0
Yes,19.0,80.0,78.0,1,1,98.0,Yes,A,Male,Yes,Kinesthetic,Medium,3.0,Pass,High,2,11.0
Yes,21.0,96.0,78.0,1,1,83.0,Yes,B,Male,Yes,Reading/Writing,Medium,8.0,Pass,High,1,11.0
Yes,28.0,88.0,65.0,0,0,72.0,Yes,B,Female,Yes,Kinesthetic,Medium,12.0,Pass,High,,17.0
Yes,21.0,79.0,65.0,0,1,58.0,Yes,C,Female,Yes,Auditory,Medium,16.0,Pass,High,2,17.0
Yes,28.0,88.0,65.0,0,0,72.0,Yes,B,Female,Yes,Kinesthetic,Medium,12.0,Pass,Low,,17.0
Yes,21.0,79.0,65.0,0,1,58.0,Yes,C,Female,Yes,Auditory,Medium,16.0,Pass,Low,2,17.0
No,28.0,88.0,65.0,0,0,72.0,No,B,Female,Yes,Kinesthetic,Medium,12.0,Pass,Medium,,17.0
No,21.0,79.0,65.0,0,1,58.0,No,C,Female,Yes,Auditory,Medium,16.0,Pass,Medium,2,17.0
Yes,26.0,65.0,62.0,1,0,46.0,Yes,D,Male,Yes,Kinesthetic,High,9.0,Fail,Low,2,21.0
No,26.0,65.0,62.0,1,0,46.0,No,D,Male,Yes,Kinesthetic,High,9.0,Fail,Low,2,21.0
No,26.0,65.0,62.0,1,0,46.0,No,D,Male,Yes,Kinesthetic,Medium,9.0,Fail,Medium,2,21.0
No,19.0,64.0,91.0,1,0,63.0,No,C,Female,Yes,Visual,Medium,7.0,Pass,Medium,1,13.0
No,25.0,73.0,91.0,0,0,77.0,No,B,Female,Yes,Reading/Writing,Medium,12.0,Pass,Medium,2,13.0
No,21.0,98.0,91.0,1,0,100.0,No,A,Female,Yes,Visual,Medium,13.0,Pass,Medium,2,13.0
No,29.0,66.0,91.0,1,1,90.0,No,A,Female,Yes,Auditory,Medium,3.0,Pass,Medium,2,13.0
No,28.0,85.0,91.0,1,1,46.0,No,D,Female,Yes,Auditory,Medium,11.0,Fail,Medium,2,13.0
No,19.0,89.0,91.0,0,0,61.0,No,C,Female,Yes,Kinesthetic,Medium,18.0,Pass,Medium,2,13.0
Yes,19.0,64.0,91.0,1,0,63.0,Yes,C,Female,Yes,Visual,Medium,7.0,Pass,Medium,1,13.0
Yes,25.0,73.0,91.0,0,0,77.0,Yes,B,Female,Yes,Reading/Writing,Medium,12.0,Pass,Medium,2,13.0
Yes,21.0,98.0,91.0,1,0,100.0,Yes,A,Female,Yes,Visual,Medium,13.0,Pass,Medium,2,13.0
Yes,29.0,66.0,91.0,1,1,90.0,Yes,A,Female,Yes,Auditory,Medium,3.0,Pass,Medium,2,13.0
Yes,28.0,85.0,91.0,1,1,46.0,Yes,D,Female,Yes,Auditory,Medium,11.0,Fail,Medium,2,13.0
Yes,19.0,89.0,91.0,0,0,61.0,Yes,C,Female,Yes,Kinesthetic,Medium,18.0,Pass,Medium,2,13.0
Yes,28.0,96.0,83.0,0,1,75.0,Yes,B,Male,Yes,Kinesthetic,Medium,11.0,Pass,High,2,22.0
Yes,28.0,96.0,83.0,0,1,75.0,Yes,B,Male,Yes,Kinesthetic,High,11.0,Pass,Medium,2,22.0
Yes,28.0,96.0,83.0,0,1,75.0,Yes,B,Male,No,Kinesthetic,High,11.0,Pass,Medium,2,22.0
Yes,28.0,96.0,83.0,0,1,75.0,Yes,B,Male,Yes,Kinesthetic,Medium,11.0,Pass,Low,2,22.0
No,19.0,90.0,90.0,1,0,52.0,No,D,Female,Yes,Auditory,Medium,0.0,Fail,Medium,2,16.0
No,19.0,90.0,90.0,1,0,52.0,No,D,Female,No,Auditory,High,0.0,Fail,Medium,2,16.0
Yes,19.0,90.0,90.0,1,0,52.0,Yes,D,Female,Yes,Auditory,Medium,0.0,Fail,High,2,16.0
Yes,19.0,90.0,90.0,1,0,52.0,Yes,D,Female,Yes,Auditory,High,0.0,Fail,High,2,16.0
No,22.0,50.0,66.0,0,1,73.0,No,B,Male,Yes,Auditory,Low,3.0,Pass,High,1,18.0
No,27.0,57.0,66.0,0,1,60.0,No,C,Male,Yes,Kinesthetic,Low,11.0,Pass,High,,18.0
No,22.0,50.0,66.0,0,1,73.0,No,B,Male,Yes,Auditory,Medium,3.0,Pass,Medium,1,18.0
No,27.0,57.0,66.0,0,1,60.0,No,C,Male,Yes,Kinesthetic,Medium,11.0,Pass,Medium,,18.0
No,22.0,50.0,66.0,0,1,73.0,No,B,Male,Yes,Auditory,Medium,3.0,Pass,High,1,18.0
No,27.0,57.0,66.0,0,1,60.0,No,C,Male,Yes,Kinesthetic,Medium,11.0,Pass,High,,18.0
