ActiveLearner,Age,AssignmentCompletion,Attendance,Discussions,EduTech,ExamScore,Extracurricular,FinalGrade,Gender,Internet,LearningStyle,Motivation,OnlineCourses,PassStatus,Resources,StressLevel,StudyHours,Cluster
Yes,19.0,63.0,92.0,1,1,40.0,Yes,D,Female,Yes,3,Medium,12.0,Fail,High,2,19.0,3
Yes,26.0,86.0,92.0,<Na>,1,94.0,Yes,A,Female,Yes,2,Medium,3.0,Pass,High,2,19.0,2
No,19.0,63.0,92.0,1,1,40.0,No,D,Female,Yes,3,High,12.0,Fail,Medium,2,19.0,3
No,26.0,86.0,92.0,<Na>,1,94.0,No,A,Female,Yes,2,High,3.0,Pass,Medium,2,19.0,2
Yes,21.0,57.0,84.0,1,1,48.0,Yes,D,Male,Yes,2,Low,10.0,Fail,Low,2,29.0,3
Yes,28.0,74.0,84.0,<Na>,1,60.0,Yes,C,Male,Yes,2,Low,14.0,Pass,Low,<Na>,29.0,0
Yes,21.0,57.0,84.0,1,1,48.0,Yes,D,Male,Yes,2,Medium,10.0,Fail,Medium,2,29.0,3
Yes,28.0,74.0,84.0,<Na>,1,60.0,Yes,C,Male,Yes,2,Medium,14.0,Pass,Medium,<Na>,29.0,0
Yes,18.0,91.0,78.0,<Na>,1,58.0,Yes,C,Male,Yes,2,Medium,17.0,Pass,High,2,25.0,2
Yes,18.0,91.0,78.0,<Na>,1,58.0,Yes,C,Male,Yes,2,Medium,17.0,Pass,Low,2,25.0,2
No,19.0,74.0,94.0,1,<Na>,92.0,No,A,Male,Yes,3,High,3.0,Pass,High,2,17.0,2
No,19.0,74.0,94.0,1,<Na>,92.0,No,A,Male,Yes,3,Low,3.0,Pass,Medium,2,17.0,2
No,19.0,74.0,94.0,1,<Na>,92.0,No,A,Male,Yes,3,Medium,3.0,Pass,Medium,2,17.0,2
Yes,19.0,74.0,94.0,1,<Na>,92.0,Yes,A,Male,Yes,3,Medium,3.0,Pass,Medium,2,17.0,2
No,19.0,74.0,94.0,1,<Na>,92.0,No,A,Male,Yes,3,High,3.0,Pass,Low,2,17.0,2
Yes,19.0,74.0,94.0,1,<Na>,92.0,Yes,A,Male,Yes,3,Low,3.0,Pass,Low,2,17.0,2
Yes,19.0,74.0,94.0,1,<Na>,92.0,Yes,A,Male,Yes,3,Medium,3.0,Pass,High,2,17.0,2
Yes,27.0,65.0,98.0,<Na>,<Na>,58.0,Yes,C,Male,Yes,2,Medium,5.0,Pass,Medium,2,23.0,0
Yes,27.0,100.0,98.0,1,<Na>,93.0,Yes,A,Male,Yes,1,Medium,4.0,Pass,Medium,2,23.0,2
No,27.0,65.0,98.0,<Na>,<Na>,58.0,No,C,Male,Yes,2,Medium,5.0,Pass,Low,2,23.0,0
No,27.0,100.0,98.0,1,<Na>,93.0,No,A,Male,Yes,1,Medium,4.0,Pass,Low,2,23.0,2
No,27.0,65.0,98.0,<Na>,<Na>,58.0,No,C,Male,Yes,2,Medium,5.0,Pass,High,2,23.0,0
No,27.0,100.0,98.0,1,<Na>,93.0,No,A,Male,Yes,1,Medium,4.0,Pass,High,2,23.0,2
Yes,27.0,65.0,98.0,<Na>,<Na>,58.0,Yes,C,Male,Yes,2,Low,5.0,Pass,High,2,23.0,0
Yes,27.0,100.0,98.0,1,<Na>,93.0,Yes,A,Male,Yes,1,Low,4.0,Pass,High,2,23.0,2
No,18.0,68.0,80.0,1,<Na>,73.0,No,B,Male,No,1,Medium,13.0,Pass,High,2,17.0,3
No,24.0,64.0,80.0,1,1,69.0,No,C,Male,No,3,Medium,11.0,Pass,High,<Na>,17.0,1
No,23.0,68.0,80.0,1,1,87.0,No,A,Male,No,<Na>,Medium,7.0,Pass,High,1,17.0,1
No,27.0,64.0,80.0,<Na>,1,88.0,No,A,Male,No,<Na>,Medium,12.0,Pass,High,<Na>,17.0,1
No,29.0,73.0,80.0,1,1,78.0,No,B,Male,No,1,Medium,0.0,Pass,High,<Na>,17.0,1
No,18.0,68.0,80.0,1,<Na>,73.0,No,B,Male,Yes,1,Medium,13.0,Pass,Medium,2,17.0,3
No,24.0,64.0,80.0,1,1,69.0,No,C,Male,Yes,3,Medium,11.0,Pass,Medium,<Na>,17.0,1
No,23.0,68.0,80.0,1,1,87.0,No,A,Male,Yes,<Na>,Medium,7.0,Pass,Medium,1,17.0,1
No,27.0,64.0,80.0,<Na>,1,88.0,No,A,Male,Yes,<Na>,Medium,12.0,Pass,Medium,<Na>,17.0,1
No,29.0,73.0,80.0,1,1,78.0,No,B,Male,Yes,1,Medium,0.0,Pass,Medium,<Na>,17.0,1
No,18.0,68.0,80.0,1,<Na>,73.0,No,B,Male,Yes,1,Medium,13.0,Pass,High,2,17.0,3
No,24.0,64.0,80.0,1,1,69.0,No,C,Male,Yes,3,Medium,11.0,Pass,High,<Na>,17.0,1
No,23.0,68.0,80.0,1,1,87.0,No,A,Male,Yes,<Na>,Medium,7.0,Pass,High,1,17.0,1
No,27.0,64.0,80.0,<Na>,1,88.0,No,A,Male,Yes,<Na>,Medium,12.0,Pass,High,<Na>,17.0,1
No,29.0,73.0,80.0,1,1,78.0,No,B,Male,Yes,1,Medium,0.0,Pass,High,<Na>,17.0,1
Yes,27.0,64.0,97.0,<Na>,1,87.0,Yes,A,Male,Yes,1,Low,9.0,Pass,High,1,17.0,1
Yes,25.0,70.0,97.0,1,1,82.0,Yes,B,Male,Yes,2,Low,20.0,Pass,High,1,17.0,1
No,27.0,64.0,97.0,<Na>,1,87.0,No,A,Male,Yes,1,Medium,9.0,Pass,Medium,1,17.0,1
No,25.0,70.0,97.0,1,1,82.0,No,B,Male,Yes,2,Medium,20.0,Pass,Medium,1,17.0,1
No,27.0,64.0,97.0,<Na>,1,87.0,No,A,Male,Yes,1,High,9.0,Pass,High,1,17.0,1
No,25.0,70.0,97.0,1,1,82.0,No,B,Male,Yes,2,High,20.0,Pass,High,1,17.0,1
Yes,27.0,64.0,97.0,<Na>,1,87.0,Yes,A,Male,No,1,Medium,9.0,Pass,High,1,17.0,1
Yes,25.0,70.0,97.0,1,1,82.0,Yes,B,Male,No,2,Medium,20.0,Pass,High,1,17.0,1
No,27.0,64.0,97.0,<Na>,1,87.0,No,A,Male,Yes,1,Medium,9.0,Pass,High,1,17.0,1
No,25.0,70.0,97.0,1,1,82.0,No,B,Male,Yes,2,Medium,20.0,Pass,High,1,17.0,1
Yes,27.0,64.0,97.0,<Na>,1,87.0,Yes,A,Male,Yes,1,Medium,9.0,Pass,Low,1,17.0,1
Yes,25.0,70.0,97.0,1,1,82.0,Yes,B,Male,Yes,2,Medium,20.0,Pass,Low,1,17.0,1
Yes,27.0,64.0,97.0,<Na>,1,87.0,Yes,A,Male,Yes,1,Medium,9.0,Pass,Medium,1,17.0,1
Yes,25.0,70.0,97.0,1,1,82.0,Yes,B,Male,Yes,2,Medium,20.0,Pass,Medium,1,17.0,1
No,27.0,64.0,97.0,<Na>,1,87.0,No,A,Male,No,1,High,9.0,Pass,Low,1,17.0,1
No,25.0,70.0,97.0,1,1,82.0,No,B,Male,No,2,High,20.0,Pass,Low,1,17.0,1
Yes,27.0,64.0,97.0,<Na>,1,87.0,Yes,A,Male,Yes,1,Low,9.0,Pass,Medium,1,17.0,1
Yes,25.0,70.0,97.0,1,1,82.0,Yes,B,Male,Yes,2,Low,20.0,Pass,Medium,1,17.0,1
Yes,27.0,66.0,83.0,<Na>,<Na>,86.0,Yes,A,Male,Yes,2,Low,1.0,Pass,Medium,1,21.0,1
Yes,27.0,77.0,83.0,1,1,96.0,Yes,A,Male,Yes,<Na>,Low,7.0,Pass,Medium,1,21.0,1
Yes,27.0,66.0,83.0,<Na>,<Na>,86.0,Yes,A,Male,Yes,2,High,1.0,Pass,Medium,1,21.0,1
Yes,27.0,77.0,83.0,1,1,96.0,Yes,A,Male,Yes,<Na>,High,7.0,Pass,Medium,1,21.0,1
No,27.0,66.0,83.0,<Na>,<Na>,86.0,No,A,Male,Yes,2,Low,1.0,Pass,Low,1,21.0,1
No,27.0,77.0,83.0,1,1,96.0,No,A,Male,Yes,<Na>,Low,7.0,Pass,Low,1,21.0,1
Yes,27.0,66.0,83.0,<Na>,<Na>,86.0,Yes,A,Male,Yes,2,Low,1.0,Pass,Low,1,21.0,1
Yes,27.0,77.0,83.0,1,1,96.0,Yes,A,Male,Yes,<Na>,Low,7.0,Pass,Low,1,21.0,1
Yes,27.0,66.0,83.0,<Na>,<Na>,86.0,Yes,A,Male,Yes,2,High,1.0,Pass,High,1,21.0,1
Yes,27.0,77.0,83.0,1,1,96.0,Yes,A,Male,Yes,<Na>,High,7.0,Pass,High,1,21.0,1
No,27.0,66.0,83.0,<Na>,<Na>,86.0,No,A,Male,Yes,2,Medium,1.0,Pass,High,1,21.0,1
No,27.0,77.0,83.0,1,1,96.0,No,A,Male,Yes,<Na>,Medium,7.0,Pass,High,1,21.0,1
Yes,18.0,55.0,82.0,<Na>,1,40.0,Yes,D,Male,Yes,3,Medium,17.0,Fail,Medium,2,9.0,3
Yes,25.0,73.0,82.0,<Na>,1,46.0,Yes,D,Male,Yes,3,Medium,13.0,Fail,Medium,2,9.0,0
Yes,27.0,71.0,78.0,<Na>,1,68.0,Yes,C,Male,Yes,2,Medium,5.0,Pass,High,2,10.0,1
Yes,20.0,85.0,78.0,<Na>,1,78.0,Yes,B,Male,Yes,3,Medium,17.0,Pass,High,2,10.0,2
No,19.0,75.0,68.0,1,1,42.0,No,D,Female,Yes,3,Medium,0.0,Fail,Medium,1,17.0,3
No,24.0,87.0,68.0,1,1,64.0,No,C,Female,Yes,2,Medium,4.0,Pass,Medium,2,17.0,0
No,20.0,88.0,68.0,1,1,49.0,No,D,Female,Yes,3,Medium,19.0,Fail,Medium,1,17.0,3
Yes,19.0,75.0,68.0,1,1,42.0,Yes,D,Female,Yes,3,Medium,0.0,Fail,Medium,1,17.0,3
Yes,24.0,87.0,68.0,1,1,64.0,Yes,C,Female,Yes,2,Medium,4.0,Pass,Medium,2,17.0,0
Yes,20.0,88.0,68.0,1,1,49.0,Yes,D,Female,Yes,3,Medium,19.0,Fail,Medium,1,17.0,3
No,19.0,75.0,68.0,1,1,42.0,No,D,Female,Yes,3,High,0.0,Fail,Medium,1,17.0,3
No,24.0,87.0,68.0,1,1,64.0,No,C,Female,Yes,2,High,4.0,Pass,Medium,2,17.0,0
No,20.0,88.0,68.0,1,1,49.0,No,D,Female,Yes,3,High,19.0,Fail,Medium,1,17.0,3
Yes,19.0,75.0,68.0,1,1,42.0,Yes,D,Female,Yes,3,Medium,0.0,Fail,High,1,17.0,3
Yes,24.0,87.0,68.0,1,1,64.0,Yes,C,Female,Yes,2,Medium,4.0,Pass,High,2,17.0,0
Yes,20.0,88.0,68.0,1,1,49.0,Yes,D,Female,Yes,3,Medium,19.0,Fail,High,1,17.0,3
Yes,19.0,75.0,68.0,1,1,42.0,Yes,D,Female,Yes,3,High,0.0,Fail,Low,1,17.0,3
Yes,24.0,87.0,68.0,1,1,64.0,Yes,C,Female,Yes,2,High,4.0,Pass,Low,2,17.0,0
Yes,20.0,88.0,68.0,1,1,49.0,Yes,D,Female,Yes,3,High,19.0,Fail,Low,1,17.0,3
Yes,22.0,74.0,70.0,1,1,40.0,Yes,D,Female,Yes,3,Medium,1.0,Fail,Medium,2,22.0,0
No,22.0,74.0,70.0,1,1,40.0,No,D,Female,Yes,3,Low,1.0,Fail,Medium,2,22.0,0
Yes,22.0,74.0,70.0,1,1,40.0,Yes,D,Female,Yes,3,High,1.0,Fail,High,2,22.0,0
Yes,22.0,74.0,70.0,1,1,40.0,Yes,D,Female,Yes,3,Low,1.0,Fail,Medium,2,22.0,0
Yes,22.0,74.0,70.0,1,1,40.0,Yes,D,Female,Yes,3,Medium,1.0,Fail,High,2,22.0,0
Yes,23.0,50.0,80.0,<Na>,<Na>,56.0,Yes,C,Female,Yes,2,Low,2.0,Pass,Medium,1,15.0,3
Yes,21.0,87.0,80.0,1,1,89.0,Yes,A,Female,Yes,2,Low,7.0,Pass,Medium,<Na>,15.0,2
Yes,23.0,56.0,80.0,1,1,75.0,Yes,B,Female,Yes,1,Low,13.0,Pass,Medium,2,15.0,1
No,23.0,50.0,80.0,<Na>,<Na>,56.0,No,C,Female,Yes,2,Medium,2.0,Pass,High,1,15.0,3
No,21.0,87.0,80.0,1,1,89.0,No,A,Female,Yes,2,Medium,7.0,Pass,High,<Na>,15.0,2
No,23.0,56.0,80.0,1,1,75.0,No,B,Female,Yes,1,Medium,13.0,Pass,High,2,15.0,1
No,23.0,50.0,80.0,<Na>,<Na>,56.0,No,C,Female,Yes,2,High,2.0,Pass,Low,1,15.0,3
No,21.0,87.0,80.0,1,1,89.0,No,A,Female,Yes,2,High,7.0,Pass,Low,<Na>,15.0,2
No,23.0,56.0,80.0,1,1,75.0,No,B,Female,Yes,1,High,13.0,Pass,Low,2,15.0,1
No,23.0,50.0,80.0,<Na>,<Na>,56.0,No,C,Female,Yes,2,Medium,2.0,Pass,Medium,1,15.0,3
No,21.0,87.0,80.0,1,1,89.0,No,A,Female,Yes,2,Medium,7.0,Pass,Medium,<Na>,15.0,2
No,23.0,56.0,80.0,1,1,75.0,No,B,Female,Yes,1,Medium,13.0,Pass,Medium,2,15.0,1
Yes,23.0,50.0,80.0,<Na>,<Na>,56.0,Yes,C,Female,Yes,2,Medium,2.0,Pass,Medium,1,15.0,3
Yes,21.0,87.0,80.0,1,1,89.0,Yes,A,Female,Yes,2,Medium,7.0,Pass,Medium,<Na>,15.0,2
Yes,23.0,56.0,80.0,1,1,75.0,Yes,B,Female,Yes,1,Medium,13.0,Pass,Medium,2,15.0,1
Yes,21.0,66.0,75.0,1,1,71.0,Yes,B,Male,Yes,<Na>,Medium,16.0,Pass,High,2,12.0,3
Yes,22.0,55.0,75.0,1,1,48.0,Yes,D,Male,Yes,2,Medium,20.0,Fail,High,1,12.0,3
No,28.0,67.0,78.0,1,1,91.0,No,A,Female,Yes,<Na>,High,2.0,Pass,Medium,2,29.0,1
Yes,28.0,67.0,78.0,1,1,91.0,Yes,A,Female,Yes,<Na>,Medium,2.0,Pass,High,2,29.0,1
No,25.0,91.0,99.0,1,1,56.0,No,C,Male,Yes,3,Medium,13.0,Pass,High,<Na>,19.0,0
No,25.0,91.0,99.0,1,1,56.0,No,C,Male,Yes,3,Medium,13.0,Pass,Medium,<Na>,19.0,0
No,25.0,91.0,99.0,1,1,56.0,No,C,Male,Yes,3,Low,13.0,Pass,High,<Na>,19.0,0
Yes,25.0,91.0,99.0,1,1,56.0,Yes,C,Male,Yes,3,Low,13.0,Pass,High,<Na>,19.0,0
No,25.0,91.0,99.0,1,1,56.0,No,C,Male,Yes,3,Medium,13.0,Pass,Low,<Na>,19.0,0
Yes,25.0,91.0,99.0,1,1,56.0,Yes,C,Male,Yes,3,Low,13.0,Pass,Medium,<Na>,19.0,0
Yes,25.0,91.0,99.0,1,1,56.0,Yes,C,Male,Yes,3,Medium,13.0,Pass,Medium,<Na>,19.0,0
No,25.0,91.0,99.0,1,1,56.0,No,C,Male,Yes,3,High,13.0,Pass,Low,<Na>,19.0,0
Yes,25.0,91.0,99.0,1,1,56.0,Yes,C,Male,Yes,3,Medium,13.0,Pass,High,<Na>,19.0,0
No,22.0,93.0,74.0,1,1,97.0,No,A,Female,Yes,3,Low,3.0,Pass,High,2,20.0,2
No,24.0,68.0,74.0,1,<Na>,67.0,No,C,Female,Yes,1,Low,20.0,Pass,High,1,20.0,1
No,29.0,80.0,74.0,<Na>,<Na>,65.0,No,C,Female,Yes,<Na>,Low,13.0,Pass,High,<Na>,20.0,0
Yes,22.0,93.0,74.0,1,1,97.0,Yes,A,Female,Yes,3,Low,3.0,Pass,Medium,2,20.0,2
Yes,24.0,68.0,74.0,1,<Na>,67.0,Yes,C,Female,Yes,1,Low,20.0,Pass,Medium,1,20.0,1
Yes,29.0,80.0,74.0,<Na>,<Na>,65.0,Yes,C,Female,Yes,<Na>,Low,13.0,Pass,Medium,<Na>,20.0,0
Yes,22.0,93.0,74.0,1,1,97.0,Yes,A,Female,No,3,Medium,3.0,Pass,High,2,20.0,2
Yes,24.0,68.0,74.0,1,<Na>,67.0,Yes,C,Female,No,1,Medium,20.0,Pass,High,1,20.0,1
Yes,29.0,80.0,74.0,<Na>,<Na>,65.0,Yes,C,Female,No,<Na>,Medium,13.0,Pass,High,<Na>,20.0,0
Yes,22.0,93.0,74.0,1,1,97.0,Yes,A,Female,Yes,3,High,3.0,Pass,Medium,2,20.0,2
Yes,24.0,68.0,74.0,1,<Na>,67.0,Yes,C,Female,Yes,1,High,20.0,Pass,Medium,1,20.0,1
Yes,29.0,80.0,74.0,<Na>,<Na>,65.0,Yes,C,Female,Yes,<Na>,High,13.0,Pass,Medium,<Na>,20.0,0
Yes,22.0,93.0,74.0,1,1,97.0,Yes,A,Female,Yes,3,High,3.0,Pass,Low,2,20.0,2
Yes,24.0,68.0,74.0,1,<Na>,67.0,Yes,C,Female,Yes,1,High,20.0,Pass,Low,1,20.0,1
Yes,29.0,80.0,74.0,<Na>,<Na>,65.0,Yes,C,Female,Yes,<Na>,High,13.0,Pass,Low,<Na>,20.0,0
Yes,25.0,59.0,78.0,1,<Na>,77.0,Yes,B,Male,Yes,2,High,4.0,Pass,Medium,1,11.0,1
Yes,27.0,69.0,78.0,<Na>,1,77.0,Yes,B,Male,Yes,<Na>,High,15.0,Pass,Medium,2,11.0,1
Yes,18.0,62.0,78.0,<Na>,1,90.0,Yes,A,Male,Yes,<Na>,High,13.0,Pass,Medium,2,11.0,3
Yes,19.0,80.0,78.0,1,1,98.0,Yes,A,Male,Yes,2,High,3.0,Pass,Medium,2,11.0,2
Yes,21.0,96.0,78.0,1,1,83.0,Yes,B,Male,Yes,3,High,8.0,Pass,Medium,1,11.0,2
Yes,25.0,59.0,78.0,1,<Na>,77.0,Yes,B,Male,Yes,2,Medium,4.0,Pass,High,1,11.0,1
Yes,27.0,69.0,78.0,<Na>,1,77.0,Yes,B,Male,Yes,<Na>,Medium,15.0,Pass,High,2,11.0,1
Yes,18.0,62.0,78.0,<Na>,1,90.0,Yes,A,Male,Yes,<Na>,Medium,13.0,Pass,High,2,11.0,3
Yes,19.0,80.0,78.0,1,1,98.0,Yes,A,Male,Yes,2,Medium,3.0,Pass,High,2,11.0,2
Yes,21.0,96.0,78.0,1,1,83.0,Yes,B,Male,Yes,3,Medium,8.0,Pass,High,1,11.0,2
Yes,28.0,88.0,65.0,<Na>,<Na>,72.0,Yes,B,Female,Yes,2,Medium,12.0,Pass,High,<Na>,17.0,0
Yes,21.0,79.0,65.0,<Na>,1,58.0,Yes,C,Female,Yes,1,Medium,16.0,Pass,High,2,17.0,3
Yes,28.0,88.0,65.0,<Na>,<Na>,72.0,Yes,B,Female,Yes,2,Medium,12.0,Pass,Low,<Na>,17.0,0
Yes,21.0,79.0,65.0,<Na>,1,58.0,Yes,C,Female,Yes,1,Medium,16.0,Pass,Low,2,17.0,3
No,28.0,88.0,65.0,<Na>,<Na>,72.0,No,B,Female,Yes,2,Medium,12.0,Pass,Medium,<Na>,17.0,0
No,21.0,79.0,65.0,<Na>,1,58.0,No,C,Female,Yes,1,Medium,16.0,Pass,Medium,2,17.0,3
Yes,26.0,65.0,62.0,1,<Na>,46.0,Yes,D,Male,Yes,2,High,9.0,Fail,Low,2,21.0,0
No,26.0,65.0,62.0,1,<Na>,46.0,No,D,Male,Yes,2,High,9.0,Fail,Low,2,21.0,0
No,26.0,65.0,62.0,1,<Na>,46.0,No,D,Male,Yes,2,Medium,9.0,Fail,Medium,2,21.0,0
No,19.0,64.0,91.0,1,<Na>,63.0,No,C,Female,Yes,<Na>,Medium,7.0,Pass,Medium,1,13.0,3
No,25.0,73.0,91.0,<Na>,<Na>,77.0,No,B,Female,Yes,3,Medium,12.0,Pass,Medium,2,13.0,1
No,21.0,98.0,91.0,1,<Na>,100.0,No,A,Female,Yes,<Na>,Medium,13.0,Pass,Medium,2,13.0,2
No,29.0,66.0,91.0,1,1,90.0,No,A,Female,Yes,1,Medium,3.0,Pass,Medium,2,13.0,1
No,28.0,85.0,91.0,1,1,46.0,No,D,Female,Yes,1,Medium,11.0,Fail,Medium,2,13.0,0
No,19.0,89.0,91.0,<Na>,<Na>,61.0,No,C,Female,Yes,2,Medium,18.0,Pass,Medium,2,13.0,2
Yes,19.0,64.0,91.0,1,<Na>,63.0,Yes,C,Female,Yes,<Na>,Medium,7.0,Pass,Medium,1,13.0,3
Yes,25.0,73.0,91.0,<Na>,<Na>,77.0,Yes,B,Female,Yes,3,Medium,12.0,Pass,Medium,2,13.0,1
Yes,21.0,98.0,91.0,1,<Na>,100.0,Yes,A,Female,Yes,<Na>,Medium,13.0,Pass,Medium,2,13.0,2
Yes,29.0,66.0,91.0,1,1,90.0,Yes,A,Female,Yes,1,Medium,3.0,Pass,Medium,2,13.0,1
Yes,28.0,85.0,91.0,1,1,46.0,Yes,D,Female,Yes,1,Medium,11.0,Fail,Medium,2,13.0,0
Yes,19.0,89.0,91.0,<Na>,<Na>,61.0,Yes,C,Female,Yes,2,Medium,18.0,Pass,Medium,2,13.0,2
Yes,28.0,96.0,83.0,<Na>,1,75.0,Yes,B,Male,Yes,2,Medium,11.0,Pass,High,2,22.0,0
Yes,28.0,96.0,83.0,<Na>,1,75.0,Yes,B,Male,Yes,2,High,11.0,Pass,Medium,2,22.0,0
Yes,28.0,96.0,83.0,<Na>,1,75.0,Yes,B,Male,No,2,High,11.0,Pass,Medium,2,22.0,0
Yes,28.0,96.0,83.0,<Na>,1,75.0,Yes,B,Male,Yes,2,Medium,11.0,Pass,Low,2,22.0,0
No,19.0,90.0,90.0,1,<Na>,52.0,No,D,Female,Yes,1,Medium,0.0,Fail,Medium,2,16.0,3
No,19.0,90.0,90.0,1,<Na>,52.0,No,D,Female,No,1,High,0.0,Fail,Medium,2,16.0,3
Yes,19.0,90.0,90.0,1,<Na>,52.0,Yes,D,Female,Yes,1,Medium,0.0,Fail,High,2,16.0,3
Yes,19.0,90.0,90.0,1,<Na>,52.0,Yes,D,Female,Yes,1,High,0.0,Fail,High,2,16.0,3
No,22.0,50.0,66.0,<Na>,1,73.0,No,B,Male,Yes,1,Low,3.0,Pass,High,1,18.0,1
No,27.0,57.0,66.0,<Na>,1,60.0,No,C,Male,Yes,2,Low,11.0,Pass,High,<Na>,18.0,1
No,22.0,50.0,66.0,<Na>,1,73.0,No,B,Male,Yes,1,Medium,3.0,Pass,Medium,1,18.0,1
